STATS_ID,KEYWORD_ID,STATS_DATE,KEYWORD_NAME,DAILY_COUNT,TYPE,PRIORITY
1,191,2022-07-06,하이디라오,1,NNG,9999
2,384,2022-07-18,라이,1,NNG,5000
3,135,2022-09-07,요리,1,NNG,9999
4,229,2022-09-20,계란,1,NNG,5000
5,90,2022-09-21,사과,1,NNG,9999
6,157,2022-09-23,카페라떼,1,NNG,9999
7,38,2022-09-24,레시피,1,NNG,9999
8,374,2022-09-30,라면,1,NNG,5000
9,163,2022-10-08,쿠키,1,NNG,9999
10,950,2022-10-11,토마토,1,NNG,5000
11,127,2022-10-14,에스프레소,1,NNG,9999
12,341,2022-10-16,도넛,1,NNG,5000
13,90,2022-10-24,사과,1,NNG,9999
14,61,2022-10-26,먹방,1,NNG,9999
15,1011,2022-11-04,푸딩,1,NNG,5000
16,1011,2022-11-17,푸딩,1,NNG,5000
17,509,2022-11-21,버터,1,NNG,5000
18,689,2022-11-25,야쿠르트,1,NNG,5000
19,977,2022-11-25,파스타,1,NNG,5000
20,562,2023-01-03,사탕,1,NNG,5000
21,587,2023-01-10,석류,1,NNG,5000
22,25,2023-01-12,동결건조,1,NNG,9999
23,723,2023-01-18,오이,1,NNG,5000
24,25,2023-01-25,동결건조,1,NNG,9999
25,25,2023-02-15,동결건조,1,NNG,9999
26,880,2023-02-17,카라멜,1,NNG,5000
27,58,2023-04-02,맥도날드,1,NNG,9999
28,25,2023-04-13,동결건조,1,NNG,9999
29,798,2023-04-19,젤리,1,NNG,5000
30,728,2023-04-24,옥수수,1,NNG,5000
31,46,2023-04-29,마시멜로,1,NNG,9999
32,25,2023-05-02,동결건조,1,NNG,9999
33,270,2023-05-03,기프,1,NNG,5000
34,65,2023-05-12,메론빵,1,NNG,9999
35,175,2023-05-12,탕후루,1,NNG,9999
36,56,2023-05-17,망고,1,NNG,9999
37,25,2023-05-27,동결건조,1,NNG,9999
38,191,2023-05-30,하이디라오,1,NNG,9999
39,198,2023-05-31,훠궈,1,NNG,9999
40,798,2023-06-01,젤리,1,NNG,5000
41,175,2023-06-02,탕후루,1,NNG,9999
