POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
anunu.kr_2025-04-06,1,요거트가 추천하는 일본 요거트 16주,"#동결건조, #mukbang, #요거트, #asmr, #먹방, #fyp, #야식, #nightsnack, #yogurtboy",anunu.kr_2025-04-06,2025-04-06,2052,instagram
anunu.kr_2025-04-04,8,동결건조 플레이트 요거트 말먹 16주,"#요거트, #동결건조, #야식, #야식, #asmr, #mukbang, #yogurt, #yogurtboy",anunu.kr_2025-04-04,2025-04-04,1504,instagram
anunu.kr_2025-04-02,8,프랑스 정과 콩피 동결건조 요거트 16주,"#요거트, #동결건조, #nightsnack, #야식, #mukbang, #yogurt, #asmr, #freezedried",anunu.kr_2025-04-02,2025-04-02,6925,instagram
anunu.kr_2025-04-01,8,스낵 플레이트가 유행하니 나는 동결건조로 간다 16주,"#야식, #nightsnack, #요거트, #asmr, #mukbang, #yogurt, #동결건조",anunu.kr_2025-04-01,2025-04-01,1만,instagram
anunu.kr_2025-03-29,8,얼렸더니 쫀득한 리프레쉬 초코 체리스틱 17주,"#요거트, #야식, #nightsnack, #asmr, #mukbang, #yogurt, #초코스틱",anunu.kr_2025-03-29,2025-03-29,1730,instagram
anunu.kr_2025-03-28,8,프랑스 정과 콩피엔 요거트지 17주,"#요거트, #콩피, #프랑스정과, #야식, #nightsnack, #yogurt, #mukbang",anunu.kr_2025-03-28,2025-03-28,3380,instagram
anunu.kr_2025-03-25,8,금귤 동결건조 요거트 범벅 17주,"#요거트, #금귤, #야식, #asmr, #nightsnack",anunu.kr_2025-03-25,2025-03-25,9498,instagram
anunu.kr_2025-03-24,8,요거트 말먹 하면 4배 맛있는 파삭 @pasaackorea 18주,"#동결건조엿, #파삭, #야식, #nightsnack, #yogurt, #요거트",anunu.kr_2025-03-24,2025-03-24,1614,instagram
anunu.kr_2025-03-20,1,어릴적 와구와구 먹고싶던 필라델피아 치즈케이크 18주,"#요거트, #asmr, #mukbang, #먹방, #fyp, #야식, #nightsnack, #yogurtboy",anunu.kr_2025-03-20,2025-03-20,9555,instagram
anunu.kr_2025-02-23,181,베토벤 바이러스는 돌아주는게 국룰임 @norutagram 22주,,anunu.kr_2025-02-23,2025-02-23,301,instagram
anunu.kr_2025-02-02,39,햄버거 죄책감 덜하게 먹는 법 25주,"#macdonalds, #맥도날드, #viral",anunu.kr_2025-02-02,2025-02-02,461,instagram
anunu.kr_2025-01-19,8,목포는 검증된 맛집이다 27주,"#목포, #맛집, #카페나무숲, #딸기요거트, #요거트아이스크림, #vlog",anunu.kr_2025-01-19,2025-01-19,723,instagram
anunu.kr_2025-01-18,2,가뿐하게 10인분 딸기Chill 하는 간식유듀바들 수정됨 · 27주,"#나무숲, #목포",anunu.kr_2025-01-18,2025-01-18,59만,instagram
