POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
ddimmi96_2024-03-09,1,백종원님이 해명하신 대파감자라떼 직접 만들어봤습니다.. 수정됨 · 72주,"#대파감자라떼, #대파크림감자라떼, #빽다방, #빽다방추천, #디저트먹방, #디저트, #요리, #백종원, #먹방, #먹방asmr, #asmr, #디져트, #간식, #간식먹방, #요리레시피, #레시피",ddimmi96_2024-03-09,2024-03-09,1872,instagram
ddimmi96_2024-03-07,1,드디어 살 안찌는 제로치킨이 나왔다 ㄷㄷ 수정됨 · 72주,"#유료광고, #제로치킨, #제로슈가치킨, #슈가제로치킨, #제로양념치킨, #치킨플러스, #치킨먹방, #치킨asmr, #먹방, #다이어트, #다이어트치킨, #치킨다이어트, #다이어트식단",ddimmi96_2024-03-07,2024-03-07,2349,instagram
ddimmi96_2024-03-04,1,중국간식! 이젠 하다하다 얼음숯불구이🧊 과연 맛은..? 73주,"#중국간식, #중국얼음, #중국먹방, #중국먹방asmr, #중국asmr, #중국음식, #중국간식리뷰, #숯불얼음구이, #카오빙리우즈, #띠미중국간식, #얼음구이, #먹방",ddimmi96_2024-03-04,2024-03-04,1.4만,instagram
ddimmi96_2024-03-02,1,지금 난리난 왕가탕후루 신메뉴 통사과 탕후루ㄷㄷ 73주,"#링고아메, #사과탕후루, #탕후루, #탕후루먹방, #통사과탕후루, #탕후루asmr, #왕가탕후루, #왕가탕후루asmr, #왕가탕후루먹방, #링고아메먹방, #tanghulu, #tanghuluasmr, #왕가탕후루신메뉴",ddimmi96_2024-03-02,2024-03-02,5212,instagram
ddimmi96_2024-02-28,1,중국인들은 왜 이런얼음을 먹는거죠? 73주,"#중국간식, #중국얼음, #중국얼음먹방, #신기한얼음, #중국먹방, #신기한먹방, #중국음식, #중국간식, #얼음먹방, #바질얼음, ##먹방asmr, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #신기한간식, #간식, #간식먹방, #신박한간식, #디저트, #디저트먹방, #먹방, #asmrmukbang, #eating",ddimmi96_2024-02-28,2024-02-28,2.3만,instagram
ddimmi96_2024-02-26,1,진짜 같은 신기한 일본 초밥간식 ㄷㄷ ✨판매처 정보✨: 일본직구쇼핑몰 엔핍에서 제품 제공을 받았습니다! 링크👉🏻 www.nppip.com 링크👉🏻 www.nppip.kr @nppip_japan 먹방asmr 수정됨 · 74주,"#제품제공, #일본간식, #초밥, #일본음식, #일본먹방, #일본편의점, #일본쇼핑리스트, #일본과자, #일본초밥, #초밥먹방, #먹방, #일본간식먹방, #신기한일본간식, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #신기한간식, #간식, #간식먹방, #신박한간식, #디저트, #디저트먹방, #asmrmukbang, #eating",ddimmi96_2024-02-26,2024-02-26,2.7만,instagram
ddimmi96_2024-02-25,1,금수저만 먹는 1통에 15만원짜리 명품 대게통조림 74주,"#제품제공, #짱구대게, #짱구대게먹방, #짱구통조림, #대게통조림, #일본통조림, #일본음식, #일본먹방, #일본간식, #킹크랩먹방, #대게먹방, #명품, #금수저먹방, #대게, #통조림, #신기한간식, #신박한간식, #먹방, #먹방asmr, #리뷰",ddimmi96_2024-02-25,2024-02-25,7719,instagram
ddimmi96_2024-02-24,1,여러분들은 이 간식 먹지마세요 죽을뻔함 수정됨 · 74주,"#매운간식, #신간식, #멕시코간식, #멕시코불량식품, #멕시코음식, #매운음식, #먹방, #먹방asmr, #asmr, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #신기한간식, #간식, #간식먹방, #신박한간식, #디저트, #디저트먹방, #먹방, #asmrmukbang, #eating",ddimmi96_2024-02-24,2024-02-24,8812,instagram
ddimmi96_2024-02-23,1,요즘 유행하는 마라샹궈 다이어트를 해봤다 ㄷㄷ 수정됨 · 74주,"#유료광고포함, #클룹, #클룹제로소다, #제로소다, #마라샹궈, #마라, #마라탕, #마라샹궈먹방, #마라탕먹방, #다이어트, #다이어트먹방, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #, #asmrmukbang, #eating",ddimmi96_2024-02-23,2024-02-23,1504,instagram
ddimmi96_2024-02-19,1,13만시간 30분 걸린 떡볶이는 무슨 맛일까? 75주,"#모부당, #떡볶이, #떡볶이먹방, #떡볶이asmr, #asmr, #엽떡, #엽떡먹방asmr, #치즈떡볶이, #トッポッギ, #요리, #food, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #tteokbokki",ddimmi96_2024-02-19,2024-02-19,3.5만,instagram
ddimmi96_2024-02-18,1,챗지피티야 ’한국 유명 먹방유튜버 그려줘‘ 수정됨 · 75주,"#챗지피티, #인공지능, #띠미, #패러디, #먹방, #먹방유튜버, #먹방asmr, #asmr, #추천, #ai그림",ddimmi96_2024-02-18,2024-02-18,1238,instagram
ddimmi96_2024-02-16,1,타피오카펄이 가득한 신기한 대만간식 ASMR🇹🇼 75주,"#대만간식, #대만간식asmr, #타피오카펄, #버블티펄, #공차, #흑당, #흑당버블티, #흑당asmr, #신기한간식, #신박한간식, #간식, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #タピオカパール",ddimmi96_2024-02-16,2024-02-16,4466,instagram
ddimmi96_2024-02-13,26,내가 조회수에 미친 괴물이 된 이유 수정됨 · 76주,"#띠미, #초심, #큰손, #마이쮸, #먹는풍선, #마이쮸풍선, #치킨, #통닭, #후원",ddimmi96_2024-02-13,2024-02-13,1.6만,instagram
ddimmi96_2024-02-10,1,13만 시간이나 걸린 떡볶이를 먹었다.. 76주,"#떡볶이, #떡볶이먹방, #떡볶이asmr, #모부당, #떡, #떡먹방, #신박한간식, #신기한간식, #간식, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방",ddimmi96_2024-02-10,2024-02-10,1.6만,instagram
ddimmi96_2024-02-09,1,99%가 모르는 딸기 76주,"#딸기, #딸기먹방, #흰딸기, #백설딸기, #신데렐라딸기, #백설딸기, #asmr, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #신기한간식, #간식, #간식먹방, #신박한간식, #디저트, #디저트먹방, #먹방, #asmrmukbang, #eating",ddimmi96_2024-02-09,2024-02-09,4933,instagram
ddimmi96_2024-02-05,1,완전 어이없고 귀여운 통닭빵🍗 77주,"#제품제공, #통닭빵, #치킨먹방, #치킨, #통닭, #치킨asmr, #asmr, #mukbangasmr, #mukbang, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #신기한간식, #간식, #간식먹방, #빵먹방",ddimmi96_2024-02-05,2024-02-05,4397,instagram
ddimmi96_2024-02-04,1,💥2017년의 나 vs 2024년의 나💥 둘중 어떤 제가 더 낫나요? 77주,"#띠미, #머랭쿠키, #띠미먹방, #띠미asmr, #asmr, #머랭쿠키asmr, #이상한asmr, #마카롱, #mukbang, #mukbangasmr, #viral, #fyp, #fypシ, #モッパン, #モッパンasmr, #먹방, #신기한간식, #간식, #간식먹방, #디저트, #디저트먹방, #먹방, #asmrmukbang, #eating, #meringuecookie, #メレンゲクッキー, #デザート",ddimmi96_2024-02-04,2024-02-04,3492,instagram
ddimmi96_2024-02-03,1,이제 그만하려고요 77주,"#띠미, #유튜브, #먹방, #산낙지먹방, #먹방asmr, #asmr, #mukbang, #mukbangasmr, #モッパン, #モッパンasmr, #韓国のモッパン, #モッパン, #fyp, #먹방asmr, #해산물, #해산물먹방, #viral, #fyp, #fypシ, #신기한간식, #간식, #간식먹방, #디저트, #디저트먹방, #먹방, #asmrmukbang, #eating",ddimmi96_2024-02-03,2024-02-03,1.8만,instagram
ddimmi96_2024-01-24,1,걸작떡볶이치킨 신메뉴 꼭 이렇게 드세요! 수정됨 · 78주,"#유료광고, #걸작떡볶이, #걸작, #걸작떡볶이치킨, #떡볶이먹방, #떡볶이, #마라, #마라치킨, #크림떡볶이, #짜장떡볶이, #스윗마라치킨, #먹방, #mukbang, #mukbangasmr, #モッパン, #モッパンasmr, #viral, #fyp, #fypシ, #food, #トッポッキ, #tteokbokki",ddimmi96_2024-01-24,2024-01-24,3983,instagram
ddimmi96_2024-01-22,1,"상위 1% 명품딸기 먹어봄🍓 설리당 홍보모델인 제가 샤인머스켓 다음으로 사랑하는 설리당 과일! 설리당 딸기🍓🍓🍓🍓 딸기 좋아하시는 분들 꼬~옥 관심있게 살펴보셔요! ദി ´ᵕ｀๑)و♡♥ 설리당은 젊은 여성 농부언니가 스마트팜으로 과일을 재배해요! 스마트팜이란❓ 일반 밭 ,비닐하우스와 다르게 유리온실에 최첨단 시스템으로 조절해서 최고 품질로 키울수 있는거에요! 고당도 선별할수 있는 기계로 최상품 아니면 안파는 곳이니 믿고 주문해주세요! @sulridang22 📣 네이버스토어에 설리당을 검색하세요! 수정됨 · 79주","#유료광고포함, #명품, #명품딸기, #딸기, #딸기먹방, #딸기asmr, #asmr, #asmrmukbang, #mukbang, #strawberry, #fruit, #설리당, #탕후루, #딸기탕후루, #モッパンasmr, #モッパン, #viral, #fyp, #fypシ",ddimmi96_2024-01-22,2024-01-22,3601,instagram
ddimmi96_2024-01-21,1,엥 이게 타피오카펄이라고? 79주,"#타피오카펄, #버블티, #공차, #버블티먹방, #타피오카펄먹방, #푸딩, #푸딩먹방, #대만, #대만간식, #먹방, #먹방asmr, #신기한간식, #신박한간식, #モッパンasmr, #モッパン, #mukbangasmr, #viral, #fyp, #fypシ, #tiwan, #tapiocapearl, #bubbletea, #pudding, #プディング, #タピオカパール",ddimmi96_2024-01-21,2024-01-21,2808,instagram
ddimmi96_2024-01-20,1,죄송합니다 중국 짝퉁 리뷰했었습니다. 79주,"#중국간식, #중국천겹토스트, #천겹토스트, #중국식빵, #중국간식, #중국유행, #mukbang, #먹방, #먹방asmr, #빵, #식빵, #신기한간식, #디저트, #モッパンasmr, #モッパン, #mukbangasmr, #food, #viral, #fyp, #fypシ",ddimmi96_2024-01-20,2024-01-20,3551,instagram
