POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
d0.0jini | 2025-05-25 | 과일 찹쌀떡....
luce_in_altis1021 | 2025-05-24 | @27yoon9_ 🤤
hxisxo | 2025-05-24 | 진짜n번째시청중 하계속보게되.......
yeon.log | 2025-05-24 | @sundae_2 @jj25ng_sj 대전 모찌가게래 🍑
eunchae_yuju_mommy92 | 2025-05-24 | @nekimyj316
before_soeunset | 2025-05-24 | @zz_.h__ 대전에서 야구도보고 이거도먹으까…?🥺
myangmyangchoi | 2025-05-24 | 평소보다 가까운 느낌이라서 그런지 모르겠는데 유독 오늘 더 아름다우신..❤️🔥 다음에 대전가면 꼭 먹어보겠습니다!!!
witty_.hyunii | 2025-05-25 | @seoiie_e @dh_129 미쳐따
dogaejae | 2025-05-25 | 하..모찌 다 비싼대 대전가면여기꼭가보겟습니다
syehe_y | 2025-05-25 | 와 처음에 저거 모양보구 잉 에휴 요즘 모찌들도 비싸게팔면서 모양 신경을 좀 써줘야하는거아닌가했더니 억 1800원 ㅋㅋㅋㅋㅋ 바로 인정해버림ㅠㅠ 죄송합니다여ㅠㅠㅠ
gyu_ri_vely | 2025-05-25 | ㅠㅠ택배는@안되게뽀..??
hyun0103 | 2025-05-25 | @su_jung0727 맛잇겟..
jo_bro18.24 | 2025-05-25 | @wangeunjo 데려가유
xo_xbsxl | 2025-05-25 | 아...개맛있겠다... 나 이거땜에 대전간다...
s_hui99 | 2025-05-24 | @hxxny18 와 여기다 ㅎㅎㅎㅎㅎㅎㅎㅎ 가고 29일도 가쟈 40개 먹오야지
h_mochi_bungeo | 2025-05-23 | 공주님이 모찌를 먹는다!!!
eon_20.0 | 2025-05-24 | 여기 사장님분들도 다 너무 착하시고 그득그득 사도 얼마 안나오니까 꼭 가세요..,.😍
y0ur_moon_ | 2025-05-23 | 하 나 여기 ㅇ지나가면서 봤는데 ㅜㅠㅜ우엉엉어엉어애
coecaeryeong46 | 2025-05-23 | 짜파게티에다가 계란후라이 올려서 먹는 영상 찍어주세요❤️
jeongjaegwang9 | 2025-05-23 | 이쁘세용❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
advil1219 | 2025-05-26 | 어딜까요저기가😍
mablejsoo | 2025-06-08 | 요기?어디에요?
corridorasloverslover | 2025-06-11 | 머리 화장 스타일링 이렇게 하니까 구라안까고 진짜 20년은 더 젊어보여요 ㄹㅇ이러고 다니세요진짜❤️❤️❤️❤️❤️
qnqnfk_dk | 2025-06-18 | 옷정보궁금해요!
baplangg__021 | 2025-06-21 | Ghsjshssjbdebhdbhbbdeh bude JJ jngn JJ
5ni_on | 2025-07-14 | @fullsunbear_r
j1vu0o | 2025-07-19 | 저기 진짜 맛있어요..
tj.fgml | 2025-07-27 | @mi__x___ 가자가자사자가자가자가자가자가자가자가자
cohmomin | 2025-07-27 | 여기 진짜 마싷어요 개인적으로 딸기안좋아하고 체리좋아해서 짱마싯음",Instagram
hongji_2025-02-20,,빽다방에서 웬 두바이초콜릿..?🍫 이제서야 두바이초콜릿?인가 했다가 ㄹㅇ 너무!!!! 맛있어서!!!! 인정 인정 대~~인정하고 또 사먹기루 다짐함.😎 🏷️ 빽다방 @paikscoffee_official,"#asmr, #mukbang, #asmrmukbang, #먹방, #dubaichocolate, #두바이초콜릿, #두바이초코, #초콜릿, #초콜릿먹방, #초코, #피스타치오, #디저트",hongji,2025-02-20,2만,"qnfekfrtkaruq | 2025-02-27 | 소리좋다
x8.us_ | 2025-03-06 | 와 개맛있겠다...
lildlqmlil | 2025-02-21 | 우와😮😮같은크기 십만원 주고 사먹었는데!! 빽다방 달려 가봐야겠숴열!!
teddy_zip_ | 2025-02-20 | 집앞 빽다방아 기다려랑😮
y0ur_moon_ | 2025-02-20 | 그녀와 머리띠가 너무 귀여워서 그녀 밖에 안 보여요
s._.eoin5 | 2025-07-13 | 맛있겠다 ❤️
12x_hn | 2025-03-22 | 찐두바이 맛나욤?? 편의점에 파는건 다 맛 이상하던데 다른가욤?
rllzeyoon13 | 2025-03-05 | 우리 동네는 아직 안나왔잖아......빨리 먹고싶다....
bomb_chive | 2025-04-14 | 역시 뭐든 순정 아니면 뒷북으로 나오는게 더 맛있는거 같아요. 아무리 같은 메뉴여도 유행에 휩쓸려 급하게 만든건 왠지 부족해
223.szn | 2025-02-28 | @gggayoung_ 가용ㅠㅠㅠㅠ
dbbqiyh | 2025-02-28 | @alstj.5 메가도해줘용
5genie5 | 2025-03-03 | @yeon_h_ee_ 목표가 생겼다
ls.hap7y | 2025-03-07 | @ddeb___ @m_jy__h 내일 빽다방 가자 ㄱㄱ
lilitldusfree | 2025-02-22 | @0_waann 사다놔! 흥
soobeeeen_ | 2025-02-27 | @seongjunida_
k.hannna | 2025-03-07 | @changyeal_hong 이거사줘
a.rin_u | 2025-02-27 | @dhhan3023 쮝!
boldgutsnuts | 2025-02-24 | @nny1ii 뭐야? 대박이네;;; 당장 내일 빽다방 달려가
to.kyni | 2025-03-07 | @luv_jiwon._
2.j.i.h.y.e | 2025-02-22 | @ssiippllee 미쳐따 ………
s.jeong_k | 2025-02-28 | @kim_sehwa
