COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
47,anunu.kr.csv_2025-07-21,ktwizjiyoon,저거 2년전까지만해도 즐겨먹었는데 너무 달아서 머리아픔,2025-07-22,anunu.kr
48,anunu.kr.csv_2025-07-21,jang_hada__,저거 내 최애 마시멜로인데!!! 따라해봐야징잉잉😍,2025-07-23,anunu.kr
49,anunu.kr.csv_2025-07-21,jan_et1309,그걸로 데카포 만들면 짱 맛있는데😍,2025-07-21,anunu.kr
50,anunu.kr.csv_2025-07-21,kms5351,어디서 사나요?,2025-07-22,anunu.kr
51,anunu.kr.csv_2025-07-21,gimseoyeon2692,오 이고 내가 해 먹건 방법인데...! 대밧!,2025-07-22,anunu.kr
52,anunu.kr.csv_2025-07-21,pygmy_minsoo,그 마시멜로 동결건조 시켜주세요!!!!,2025-07-22,anunu.kr
53,anunu.kr.csv_2025-07-21,klw._.05,맛있겠당 누누님 소리 대박 👍,2025-07-21,anunu.kr
54,anunu.kr.csv_2025-07-21,daeun_xi,동결건조!!!!,2025-07-21,anunu.kr
55,anunu.kr.csv_2025-07-21,n.5oak,누가 젼언니좀 태그해봐요!!,2025-07-21,anunu.kr
56,anunu.kr.csv_2025-07-21,yuri_1ing,얼려먹어보세용,2025-07-23,anunu.kr
57,anunu.kr.csv_2025-07-21,happy_soyang15,나 이거 겁나 조아하는데..,2025-07-21,anunu.kr
58,anunu.kr.csv_2025-07-21,jy._.jooha,@jeon_unni_ 이거 먹어 주셍요요,2025-07-22,anunu.kr
59,anunu.kr.csv_2025-07-21,suk_91,안되...유명해지지마 😢,2025-07-25,anunu.kr
60,anunu.kr.csv_2025-07-21,leeyunhyeong212,요거트 차갑게해서 넣어 먹어주세요.,2025-07-21,anunu.kr
61,anunu.kr.csv_2025-07-21,030o33,이거 진찌 맛있는데.. 인기많아져서 못 먹는거 ㅏ녀ㅠㅠㅠㅠㅠ,2025-07-22,anunu.kr
62,anunu.kr.csv_2025-07-21,g.yul0101,나 이거 ㄱ개 많이 먹었는데🙌,2025-07-21,anunu.kr
63,anunu.kr.csv_2025-07-21,hx._y1rn,저거 마쉬멜로우 개노맛인데 퉤퉤투ㅐ,2025-07-26,anunu.kr
64,anunu.kr.csv_2025-07-21,minhye_0113,젼언니 태그 부탁,2025-07-21,anunu.kr
65,anunu.kr.csv_2025-07-21,yu_jin_l,동결건조로 된것도 팔아요!!!!!,2025-07-22,anunu.kr
66,anunu.kr.csv_2025-07-21,gimdoyun598,그걸로 동결건조 해주세요❤️❤️❤️🙌🙌🙌😍😍,2025-07-21,anunu.kr
67,anunu.kr.csv_2025-07-21,hyn_915,저걸 한번도 안 먹어보셨다니..,2025-07-22,anunu.kr
68,anunu.kr.csv_2025-07-21,jeon_unni_,나 이거보자마자 주문함ㅋㅋㄱ😂😂,2025-07-23,anunu.kr
69,anunu.kr.csv_2025-07-21,h_.yoooooon09,디져트 유튜버가 저걸 안먹어봤다니.😢,2025-07-21,anunu.kr
70,anunu.kr.csv_2025-07-21,t4e7ewdy8,저거 너ㅓㅓㅓㅓ무 달고 마시멜로의 부드러운 맛과 과일의 신맛이 안 어울렸음,2025-07-25,anunu.kr
71,anunu.kr.csv_2025-07-21,bomi9999999,동결건조 해주세요!,2025-07-22,anunu.kr
72,anunu.kr.csv_2025-07-21,ryujian492,우유에 해도 바삭한디,2025-07-22,anunu.kr
73,anunu.kr.csv_2025-07-21,uno.zu,안은우는있는데왜밖은우는없어여,2025-07-22,anunu.kr
74,anunu.kr.csv_2025-07-21,ryui8991,이걸로 동결건조 해주세여ㅕㅕ,2025-07-22,anunu.kr
75,anunu.kr.csv_2025-07-21,ha._.hyeon11,이거 동결건조 해주세요,2025-07-22,anunu.kr
76,anunu.kr.csv_2025-07-21,ririlrirarilra6,얼려야돼요,2025-07-22,anunu.kr
77,anunu.kr.csv_2025-07-21,happ_yy437,저거 동결건조한게 진짜 맛있는데,2025-07-22,anunu.kr
78,anunu.kr.csv_2025-07-21,_shuv2,난 이거 처음먹고 맛없어서 뱉얶는데.,2025-07-22,anunu.kr
79,anunu.kr.csv_2025-07-21,_love_holic,와 ..입맛차이인가 전 이거 하나먹고 버렸는데....,2025-07-22,anunu.kr
80,anunu.kr.csv_2025-07-21,_oxjihoon,아누누님 이거 차가운 카프리썬에 넣어먹으면 진짜 맞있어요!,2025-07-22,anunu.kr
81,anunu.kr.csv_2025-07-21,yulssg,@sunae1107 이것듀,2025-07-22,anunu.kr
82,anunu.kr.csv_2025-07-21,zoo_234396254,아 저거 마쉬밀로우 유명해지면 안돼는데...,2025-07-22,anunu.kr
83,anunu.kr.csv_2025-07-21,hy._ow0n,그걸로 동결건조 해주세요,2025-07-22,anunu.kr
84,anunu.kr.csv_2025-07-21,jjihee__0428,우리애들 최애템인데...,2025-07-22,anunu.kr
85,anunu.kr.csv_2025-07-21,totorururun,이거 중국산에 유전자 변형 첨가됐을 수 있다고 해서 2개 먹고 다 버렸는데,2025-07-22,anunu.kr
86,anunu.kr.csv_2025-07-21,illliilililiiillilill,이거 몇달전에 편의점에서 엄청 맛있게 먹었었는디 드디어 뜨는구나,2025-07-22,anunu.kr
87,anunu.kr.csv_2025-07-21,si.a0712,젼언니도 해주면 좋겟어요 !!!,2025-07-22,anunu.kr
88,anunu.kr.csv_2025-07-21,si.a0712,저거 물로만 하면 그냥 마시멜로 바삭한 맛이지 저거 요플레랑 먹으면 달달하고바삭해요 !! 꼭 요거트랑 먹어주세요!!,2025-07-22,anunu.kr
89,anunu.kr.csv_2025-07-21,darcoong_stagram,지금 먹고있어오,2025-07-22,anunu.kr
90,anunu.kr.csv_2025-07-21,lucyju14112,이거 우유에 말아 먹은 맛있겠다. 소 사탕이니깐.,2025-07-22,anunu.kr
91,anunu.kr.csv_2025-07-21,minss1130,이렇게 먹었었는뒈,2025-07-22,anunu.kr
92,anunu.kr.csv_2025-07-21,se0.yn_1,저 통 어디서 구매하셧는지 너무 궁금함,2025-07-22,anunu.kr
93,anunu.kr.csv_2025-07-21,sihuan_life,안돼 내 간식 꿀템 근데 그거 얼려먹으면 소리도좋고 맜있어요,2025-07-22,anunu.kr
94,anunu.kr.csv_2025-07-21,captain9.s2,사이다에 해먹어도 맛나겟어뇨!,2025-07-22,anunu.kr
