VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM,KEYWORD_ID
아누누_20240906,요거트로 탑 쌓아주는 가게ㅋㅋㅋ,,아누누,2024-09-06,PT59S,450529,12189,98,youtube,735
아누누_20240905,일본에도 있는 폼폼 마시멜로 케이크ㅋㅋ,,아누누,2024-09-05,PT59S,199431,6437,44,youtube,46
아누누_20240904,편의점에 아망추가 나왔다구용?,,아누누,2024-09-04,PT50S,152371,4294,32,youtube,672
아누누_20240902,폼폼 마시멜로 케익 대전에도 있다고? 당장 달려감,,아누누,2024-09-02,PT58S,267441,9348,123,youtube,46
아누누_20240831,바삭한 약과가 되어버린 동결건조,,아누누,2024-08-31,PT1M,809391,27317,153,youtube,25
아누누_20240830,잘라서 꺼내먹는 대만 망고젤리,,아누누,2024-08-30,PT58S,465009,14020,74,youtube,56
아누누_20240829,이게 퐁퐁 마시멜로 원조라고요?,,아누누,2024-08-29,PT59S,447321,13099,79,youtube,46
아누누_20240827,뭉탱이 젤리 인기상품이라고용?,,아누누,2024-08-27,PT57S,284620,8356,98,youtube,574
아누누_20240825,수박 샌드위치 맛은 과연,,아누누,2024-08-25,PT54S,104976,2864,39,youtube,109
아누누_20240824,전국 과일빵 자랑2,,아누누,2024-08-24,PT59S,241157,8596,119,youtube,249
아누누_20240823,동글동글 바삭한 고급 디저트,,아누누,2024-08-23,PT55S,522577,17198,99,youtube,360
아누누_20240822,3초만에 망고 까먹는 꿀팁,,아누누,2024-08-22,PT28S,621013,18641,95,youtube,56
아누누_20240820,수박 피자,,아누누,2024-08-20,PT44S,304445,9119,61,youtube,109
아누누_20240819,해외에서 유행하는 스탠리 뷔페먹기,,아누누,2024-08-19,PT59S,423514,9434,76,youtube,535
아누누_20240818,폼폼 마시멜로 케익2,,아누누,2024-08-18,PT58S,407012,13101,206,youtube,46
아누누_20240817,꼭 먹어야 할 폼폼 마시멜로 케이크,,아누누,2024-08-17,PT1M,1043858,39115,381,youtube,46
아누누_20240815,빵 소생술 스프레드 다 발라먹어보자!,,아누누,2024-08-15,PT58S,988004,32864,135,youtube,639
아누누_20240813,동결건조 입욕제 케익 먹방,,아누누,2024-08-13,PT59S,411459,11419,74,youtube,25
아누누_20240812,제주도 귤 젤리 몽땅 다 먹어보자,,아누누,2024-08-12,PT1M,236977,7148,55,youtube,798
아누누_20240811,??? : 이거 탄산수에 넣는거임,,아누누,2024-08-11,PT1M,775304,21558,78,youtube,943
아누누_20240810,500원 짜리 떠먹는 케이크,,아누누,2024-08-10,PT1M,1325540,41026,79,youtube,895
아누누_20240804,태국 과일 절임 뷔페,,아누누,2024-08-04,PT59S,170867,4415,35,youtube,249
아누누_20240803,또 다른 편의점 두바이는 과연,,아누누,2024-08-03,PT1M1S,309200,7244,81,youtube,998
아누누_20240801,너무나도 sns용 주사기젤리,,아누누,2024-08-01,PT57S,416469,11028,66,youtube,798
