VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM,KEYWORD_ID
프롬서희_20250731,해외 유행 200% 구현한 편의점표 과일 아이스크림?,#shorts #viralfood #fruiticecream #mukbang #과일아이스크림,프롬서희,2025-07-31,PT51S,24313,914,21,youtube,249
프롬서희_20250730,SNS 난리난 티코 소금빵? 얼마나 맛있길래!?,#shorts #소금빵티코,프롬서희,2025-07-30,PT49S,30457,738,31,youtube,104
프롬서희_20250728,알리에서 산 라부부 퀄리티 딱 알려드림,#라부부 #labubu #라부부언박싱 #팝마트 #popmart #shorts,프롬서희,2025-07-28,PT48S,176145,2269,101,youtube,380
프롬서희_20250727,레몬닭발 속 궁채!? 땋아 먹었더니 식감 역대급🔥 @stephaniekimchi,#shorts #궁채 #궁채땋기 #레몬무뼈닭발 #궁채먹방,프롬서희,2025-07-27,PT45S,46006,1013,42,youtube,264
프롬서희_20250724,"해외 알고리즘 장악한 포도비누, 직접 만들어봤더니?",#shorts #포도비누 #젤리 #젤리만들기 #포도비누만들기 #먹방,프롬서희,2025-07-24,PT53S,81274,1905,56,youtube,999
프롬서희_20250721,먹방계에서 핫한 해파리머리 따라 먹어봤는데..,#shorts #jellyfish #해파리머리 #해파리먹방 #mukbang,프롬서희,2025-07-21,PT52S,76994,1417,53,youtube,61
프롬서희_20250719,전자레인지 돌리면 시럽이 생기는 젤리 종합세트,#shorts,프롬서희,2025-07-19,PT55S,68807,1756,54,youtube,644
프롬서희_20250715,"AI 빙하 먹방, 진짜 음식으로 만들어봤더니..?❄️",#shorts #ai먹방 #빙하먹방,프롬서희,2025-07-15,PT54S,155081,4934,178,youtube,61
프롬서희_20250714,바르는 민트초코 아이스크림? 진짜일까 거짓일까?,#shorts #휩드 #쿠키클레이팩클렌저 #민초팩클렌저 #realorfake,프롬서희,2025-07-14,PT41S,43297,791,51,youtube,68
프롬서희_20250713,"AI 속 유리과일, 실제로 만들면 이렇게 됩니다🍎",#shorts #유리과일 #ai먹방,프롬서희,2025-07-13,PT44S,270979,5269,125,youtube,249
프롬서희_20250712,비누가 아니라 젤리라고..? 과일 젤리박스 먹방ASMR,,프롬서희,2025-07-12,PT49S,239139,5121,67,youtube,61
프롬서희_20250708,용암먹방 다음 대세는 AI 유리과일 먹방..?,,프롬서희,2025-07-08,PT55S,388872,8401,123,youtube,61
프롬서희_20250706,편의점 신상 벽돌케이크! 오리지널과 비교해봤더니...,,프롬서희,2025-07-06,PT49S,95168,1453,34,youtube,716
프롬서희_20250704,여수언니 신상 구름크림떡 vs 초코초꾸덕 중 승자는?,#shorts,프롬서희,2025-07-04,PT48S,88596,1707,55,youtube,286
프롬서희_20250702,3천원대에 치킨 한마리를 구매할 수 있는 꿀팁?,#shorts #이마트 #어메이징완벽치킨 #고래잇페스타 #이마트세일 #쿨썸머세일 #여름바캉스 #전단행사,프롬서희,2025-07-02,PT46S,44506,690,43,youtube,255
프롬서희_20250701,포슬한 치즈케이크가 들어있는 바치케 찹쌀떡?🧀 #asmr,#asmr #mukbang #koreanmukbanger #koreanfood #shorts,프롬서희,2025-07-01,PT46S,56888,875,16,youtube,153
프롬서희_20250630,AI로 착각하게 만든 용암 먹방 만드는 법ㅋㅋㅋ🔥,#shorts #lavamukbang #용암먹방 #lava,프롬서희,2025-06-30,PT38S,214129,2767,83,youtube,61
프롬서희_20250627,1년에 딱 2주만 먹을 수 있는 신비복숭아 화채? #asmr,#shorts #mukbang,프롬서희,2025-06-27,PT54S,71184,1502,45,youtube,523
프롬서희_20250626,알고리즘 장악한 1000도씨 용암 먹방🔥 #lavamukbang,#shorts #용암먹방 #lavamukbang,프롬서희,2025-06-26,PT53S,202638,3592,169,youtube,61
프롬서희_20250625,신상 쑥 파삭! 이렇게 먹으니 3배 맛있어짐,#shorts #동결건조,프롬서희,2025-06-25,PT45S,109923,2182,35,youtube,178
프롬서희_20250621,메가커피 vs 컴포즈 vs 이디야 컵빙수! 어디가 젤 맛있을까?,#shorts #컵빙수 #mukbang,프롬서희,2025-06-21,PT57S,91139,1276,60,youtube,63
프롬서희_20250618,1초만에 간장계란밥 만드는 일본 돈키호테 꿀템?,#shorts #돈키호테 #돈키호테추천템 #강나미유튜브 #강남추천템,프롬서희,2025-06-18,PT49S,124233,1708,72,youtube,208
프롬서희_20250615,디테일이 남다른 일본 화과자 5종 먹어보기,,프롬서희,2025-06-15,PT49S,197280,4543,61,youtube,250
프롬서희_20250614,메론 젤리케이크? 와가시? 일본 디저트샵 먹방ASMR,#mukbang #shorts #japanesefood,프롬서희,2025-06-14,PT46S,111287,2001,39,youtube,61
프롬서희_20250613,지금 시즌만 먹을 수 있는 일본 사쿠란보 모찌?🍒,#shorts #japanesefood #mocchi #japanese #eatingsounds #mukbang,프롬서희,2025-06-13,PT45S,169905,3805,78,youtube,453
프롬서희_20250608,떡처럼 쫄깃하게 늘어나는 일본 모찌 도넛🍡,#shorts,프롬서희,2025-06-08,PT41S,113364,2297,62,youtube,341
프롬서희_20250606,댓글 추천받은 차갑게 먹는 닭발! 훨씬 맛있을까?,#shorts,프롬서희,2025-06-06,PT50S,329173,5202,86,youtube,323
프롬서희_20250603,치킨 아이스크림? 우유 말먹 식빵? 월간 편의점 먹방ASMR,#shorts,프롬서희,2025-06-03,PT47S,159499,2791,46,youtube,61
프롬서희_20250601,편의점 출시한 미국 실키젬? 같은 제품 맞아요..?,#shorts #실키젬 #코하쿠토,프롬서희,2025-06-01,PT49S,138726,2162,45,youtube,663
프롬서희_20250531,끓이면 떡이 투명해지는 크리스탈 탕위안?!✨,,프롬서희,2025-05-31,PT38S,213990,2673,38,youtube,405
프롬서희_20250530,보석양갱? 보석초콜렛? 영롱한 간식 먹방ASMR 💎,#shorts #mukbang #dessert #koreanmukbanger,프롬서희,2025-05-30,PT40S,193534,3508,48,youtube,61
프롬서희_20250528,잔망루피를 이을 배라 27큐브 케이크,#shorts #mukbang #asmrsounds #eatingshow #eatingsounds #koreanfood #koreanmukbanger,프롬서희,2025-05-28,PT58S,421140,7116,116,youtube,403
프롬서희_20250527,요즘 틱톡에서 난리난 레몬 무뼈 닭발?!🍋,#shorts #레몬무뼈닭발 #량진희 #닭발 #eatingshow #mukbang,프롬서희,2025-05-27,PT56S,245426,4389,83,youtube,323
프롬서희_20250526,견과류 꿰어 만든 조지아 전통간식 추르치헬라?,#shorts,프롬서희,2025-05-26,PT50S,98438,1476,37,youtube,207
프롬서희_20250522,품절대란 배라 잔망루피 케이크 #eatingshow,,프롬서희,2025-05-22,PT55S,504182,8925,142,youtube,403
프롬서희_20250519,종이처럼 얇은 300년 전통 교토 화과자?,#shorts,프롬서희,2025-05-19,PT39S,115097,1842,38,youtube,250
프롬서희_20250516,달고나 버터? 토마토 버터? 신기한 통 버터 먹방ASMR,#shorts #mukbang #eatingshow #eatingsounds #asmrsounds #koreanfood #koreanmukbanger,프롬서희,2025-05-16,PT59S,351345,4641,43,youtube,15
프롬서희_20250514,세상에서 제일 얇은 생선회..?,,프롬서희,2025-05-14,PT42S,82866,1087,49,youtube,581
프롬서희_20250513,오리지널 뺨치는 한국판 실키젬 코하쿠토💎,#shorts #실키젬 #silkygem #kohakuto #mukbang,프롬서희,2025-05-13,PT53S,184853,3582,42,youtube,663
프롬서희_20250512,유행하는 젤리들로 2025버전 데카포 만들기?!🧪,"프로미들! 요즘 핫한 신상인 스프라이트 제로 Chill로 2025버전 데카포 만들어봤는데, 소다맛도 진하고 시원 상쾌해서 훨씬 맛있었어요🤭🩵 이 조합 완전 추천~~!💙  #광고 #스프라이트 #스프라이트제로Chill #스프라이트제로 #Sprite #SpriteZeroChill #휘몰아chill상쾌함",프롬서희,2025-05-12,PT48S,80016,1317,31,youtube,339
프롬서희_20250511,유행하는 2세대 쫀득쿠키 가위바위보 먹방✌🏻✊🏻✋🏻,#shorts,프롬서희,2025-05-11,PT54S,209693,3138,39,youtube,61
프롬서희_20250508,퍼지 식감 뺨치는 얼린 쫀득빵 먹방,,프롬서희,2025-05-08,PT45S,96909,1472,66,youtube,61
프롬서희_20250507,1분만에 품절된 쫀득빵..?,#shorts #쫀득빵 #먹방 #디저트추천 #디저트,프롬서희,2025-05-07,PT58S,137103,2303,42,youtube,819
프롬서희_20250506,투썸 vs 이디야 복숭아케이크🍑 어디가 더 맛있을까?,,프롬서희,2025-05-06,PT52S,660355,5203,79,youtube,523
프롬서희_20250504,페스츄리 40겹을 쌓아 만든 바클라바 먹방🇹🇷 #baklava,#shorts,프롬서희,2025-05-04,PT56S,74081,1090,36,youtube,61
프롬서희_20250503,자극적인 음식 좋아하는 먹방 유튜버의 필수템? #닥터지,#shorts #닥터지 #올리브영 #올리브영추천템 #올리브영세일 #닥터지세럼,프롬서희,2025-05-03,PT43S,55865,785,26,youtube,61
프롬서희_20250502,지역 특산품으로 만들었다는 우리 과일 빵,#shorts #과일빵 #디저트 #koreanfood #koreandessert #mukbang #eatingshow,프롬서희,2025-05-02,PT57S,194454,4039,71,youtube,249
