VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM,KEYWORD_ID
ohharu오하루_20250422,#제품제공 실비김치 첫 도전 CRAZY Spicy Kimchi and Shinramen ASMR Mukbang,CJ제일제당으로부터 제품을 무상 지급 받아 제작된 콘텐츠입니다 #습김치 #CJ습김치 #CJ실비김치 #CJ제일제당실비김치 #비비고김치 #숏폼챌린지 #실비김치숏폼챌린지,Ohharu오하루,2025-04-22,PT1M27S,16162,483,9,youtube,273
ohharu오하루_20250419,토핑 가득 마라짜파게티 #mukbang #food,,Ohharu오하루,2025-04-19,PT1M29S,10915,449,11,youtube,412
ohharu오하루_20250417,12가지맛 수제 양갱 #mukbang,,Ohharu오하루,2025-04-17,PT1M59S,9907,352,5,youtube,206
ohharu오하루_20250415,요아정 오억개 먹음 #mukbang,,Ohharu오하루,2025-04-15,PT2M55S,7843,236,5,youtube,136
ohharu오하루_20250410,동파육 ASMR #mukbang,,Ohharu오하루,2025-04-10,PT1M2S,9102,265,3,youtube,347
ohharu오하루_20250404,직접 만든 대왕연어초밥 EATING SOUND Mukbang | Big Salmon Sushi,,Ohharu오하루,2025-04-04,PT3M4S,7687,307,18,youtube,710
ohharu오하루_20250404,"핫뿌링클,콘치즈불닭!!❤️‍🔥Hot Bburinkle Chicken , Corn Cheese Buldak ASMR #mukbang",,Ohharu오하루,2025-04-04,PT1M44S,10508,338,3,youtube,83
ohharu오하루_20250402,마라샹궈 찐맛집.......❤️‍🔥❤️‍🔥 #mukbang #food,,Ohharu오하루,2025-04-02,PT1M4S,9906,354,11,youtube,44
ohharu오하루_20250329,"맘스터치 핫치즈빅싸이순살,마라짜파게티 EATING SOUND Mukbang",말이 필요없ㄴ......,Ohharu오하루,2025-03-29,PT3M9S,63323,2532,38,youtube,55
ohharu오하루_20250328,이건 못참ㅇㅏ핫치즈싸이순살에 마라짜파게티🔥🔥 #mukbang #food 치즈볼까지,,Ohharu오하루,2025-03-28,PT1M20S,7828,280,5,youtube,412
ohharu오하루_20250325,"후추치즈열라면에 김밥,,,❤️‍🔥❤️‍🔥#mukbang #food",,Ohharu오하루,2025-03-25,PT1M2S,9695,460,10,youtube,271
ohharu오하루_20250323,#AD 쫀득한 젤라또 만들기?!?🍦 #파베크림콘Making Gelato 🍦CU에서 판매중🩵#파베크림콘 #라라스윗 #CU신상 #편의점신상 #mukbang,,Ohharu오하루,2025-03-23,PT1M12S,7655,201,2,youtube,35
ohharu오하루_20250320,6-step Matcha macaron 6단계 말차 마카롱💚 #mukbang #shorts,,Ohharu오하루,2025-03-20,PT1M31S,7623,316,3,youtube,49
ohharu오하루_20250316,종류별 초콜릿 먹어보기 Cheese chocolate is super yummy❕🧀🍫💛#mukbang,#food #shorts,Ohharu오하루,2025-03-16,PT1M15S,6125,222,3,youtube,148
ohharu오하루_20250314,4가지 쿠키 반죽 먹기  Eating four flavored cookie dough scoops 🍪🤍 #mukbang #eatingshow,,Ohharu오하루,2025-03-14,PT1M36S,8185,355,7,youtube,163
ohharu오하루_20250312,편의점 세로먹방 댓글모음 #mukbang #shorts,,Ohharu오하루,2025-03-12,PT57S,12173,349,7,youtube,61
ohharu오하루_20250308,#광고 레전드 빠삭한 60계 크크크치킨 ASMR 🍗 Korean crispy Chicken and Spicy Tteokbokki #mukbang,,Ohharu오하루,2025-03-08,PT1M43S,5055,188,6,youtube,874
ohharu오하루_20250305,치즈 듬뿍 불닭볶음탕면 먹방 댓글모음,,Ohharu오하루,2025-03-05,PT55S,6061,243,6,youtube,61
ohharu오하루_20250305,치즈 가득 명랑 핫도그 먹방,#mukbang #핫도그 #asmr #eatingsounds #eatingshow,Ohharu오하루,2025-03-05,PT3M1S,4054,135,5,youtube,61
ohharu오하루_20250304,명랑 핫도그 먹방 댓글모음,,Ohharu오하루,2025-03-04,PT1M,5978,223,1,youtube,61
ohharu오하루_20250228,집에서 만드는 초간단 김치만두전골🔥 #shorts #homecook,,Ohharu오하루,2025-02-28,PT46S,7405,315,3,youtube,273
ohharu오하루_20250225,스테이크 올린 꾸덕 존맛탱 크림 파스타#mukbang,,Ohharu오하루,2025-02-25,PT55S,7546,352,9,youtube,286
ohharu오하루_20250225,꾸우우우덕한 원팬 크림 파스타 만들기🤍 #shorts #cooking,,Ohharu오하루,2025-02-25,PT32S,15835,438,7,youtube,287
ohharu오하루_20250217,레전드 꾸덕한 불닭 로제 중국당면🔥 #mukbang,,Ohharu오하루,2025-02-17,PT40S,18283,866,9,youtube,83
ohharu오하루_20250217,불닭 로제 중국당면 파스타.. 소리 레전드🔥!! EATING SOUND Mukbang[한국어 자막],"꾸덕한 로제 중국당면 파스타를 만들어봤어요!!! 버터에 양파,베이컨,다진마늘 넣고 볶다가 우유랑 생크림 1:1 비율로 넣고 고추장,불닭소스,고춧가루(생략가능)넣고 12시간 물에 불려둔 중국당면 넣고 체다치즈 2장 넣으면 완성이에요!!! 진짜 맛있으니까 여러분 꼭 해 드셔보세요!!!!!!!!!!@@@",Ohharu오하루,2025-02-17,PT3M1S,10204,319,13,youtube,83
ohharu오하루_20250201,오늘 야식 차돌순두부열라면 열라맛있음 Korean Spicy Soft Tofu Ramen #mukbang,,Ohharu오하루,2025-02-01,PT1M28S,18121,756,15,youtube,356
ohharu오하루_20250131,마라탕 먹는 날 Chinese Spicy Hot Pot🔥 ASMR Mukbang,,Ohharu오하루,2025-01-31,PT1M28S,5152,219,1,youtube,45
ohharu오하루_20250130,Dumpling Ramen and Gimbap Mukbang 🔥 만두라면에 김밥,,Ohharu오하루,2025-01-30,PT53S,4608,151,2,youtube,271
ohharu오하루_20241206,Mac & Cheese with Spicy noodles tteokbokki ASMR Mukbang,#eatingshow #맥앤치즈 #불닭 #eatingsounds #asmreating #koreangirl #foodlover #macandcheese #buldak,Ohharu오하루,2024-12-06,PT1M28S,6100,242,3,youtube,83
ohharu오하루_20241127,Spicy K-Chicken 핫치즈빅싸이순살 + 밥 ASMR Mukbang,#eatingshow #cheeseball #koreanfood #buldak #치밥 #맘스터치,Ohharu오하루,2024-11-27,PT2M27S,13137,319,2,youtube,194
ohharu오하루_20241122,How to eat ramen without any leftovers 라면 먹방 #shinramen #asmrfood,#eatingshow #mukbang #foodshorts #koreanfood #라면,Ohharu오하루,2024-11-22,PT2M4S,8164,188,2,youtube,61
