POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
sweetshop_2025-06-26,371,울산쫀드기 vs 목포 쫀드기.. 당신의 선택은?! 저는 목포쫀드기도 되게 맛있긴 했는데 와… 울산 쫀드기가 너무 너무 맛있더라구욬ㅋㅋㅋㅋㅋㅋㅋ 라면스프가 이렇개꺼지 잘 어울릴 줄 몰랐습니다.,"#울산, #울산쫀드기",sweetshop,2025-06-26,5972,Instagram
sweetshop_2025-06-23,907,강릉에서 콜팝 300개 튀기고 왔거든요?! 근데 콜라넣기가 아쉬워서 화채도 기가막히게 말고 왔습니다.,,sweetshop,2025-06-23,2583,Instagram
sweetshop_2025-06-22,54,왔습니다!!!룩트 버터 드디어 내일 11시 OPEN! 후.하.후.하 단골님들의 뜨거운 관심 속에 드.디.어 룩트 버터가 내일 오픈합니다🔥 대망의 이사장 버터 셋뚜 대.공.개❗❗ ==================== 📌세트 구성 🥇 이사장 onePICK SET ◾다시마+트러플+시나몬피칸+블루베리 👉“그냥 믿고 드세요” 이사장 단짠단짠 인생 버터 모음! 🍚 밥순이 SET ◾다시마+감태+트러플 👉밥심으로 살아가시는 분! 🍞 빵순이 SET ◾시나몬피칸+블루베리+카카오로쉐+말차 👉달달이 러버&빵순이&디저트 덕후 손! ✨ 만능 SET (7종 풀구성) 맛 별 7종 세트 ◾다시마+감태+트러플 +시나몬피칸+블루베리+카카오로쉐+말차 👉요리부터 디저트까지 싹~! 가능!! 📌단품 구성 (*2개) 👩‍🍳 요리용 ◾다시마 - 감칠맛 치트키 ◾트러플 - 강력한 트러플 풍미로 미슐랭 감성 뿜뿜 ◾감태 - 향긋한 바다 내음 한 가득! 🍰 스프레드용 ◾시나몬피칸 - 달달&꼬소+바삭한 피칸 ◾블루베리 - 산뜻하고 부드러운 블루베리맛 ◾카카오로쉐 - 찐하고 고급진 초콜릿 ◾말차 - 은은한 씁쓸함과 단맛의 조화 📌추가 옵션 ◾ 통밀 크래커 (3종) 오리지널 / 무화과 / 그린올리브 ==================== 여러분들의 취향껏 고를 수 있는 세트 구성과 추가로 구매할 수 있는 단품 구성까지~!! 룩트 버터 만나는 그 순간 요알못이 요잘알이 되는 매직 기대 많이 많이 해주셔도 좋습니다 🎁 버터 세트 구매자 선착순 20분께 다시마 버터 본품 쓩-! 보내드리니 우리 내일 11시에 만나요!,,sweetshop,2025-06-22,366,Instagram
sweetshop_2025-06-20,246,곱창을 생으로 먹는 기분여서 뭔가 소름이 돋았거든요? 근데 막상 한입 먹으니깐 우와 이거 식감이 질기지도 않고 부드럽+서걱한 느낌이랄가요.. 소등골 좋아하시는 분!!??,,sweetshop,2025-06-20,7843,Instagram
sweetshop_2025-06-18,38,"캔모아 기억 하시는 분?ㅋㅋㅋㅋㅋㅋ ㄱ ㅣ억ㄴr니..? 그 시절 그 갬성 그 시절 감성 충만했던 캔모ㅇr..⭐ 리필 3번째부터는 슬슬 눈치가 보이기 시작했었는데,,! 그때 그 시절 제가 자라서 이젠 고오급 프리미엄 버터를 발라먹는 으른이 됐습니다 요즘 제가 푸욱 빠진 프리미엄 룩트 버터 프랑스 AOP인증받은 발효버터 사용하고 보존제 없이! 프리미엄 원재료만 담아 믿고 먹을 수 있는 고오급 버터에요! 그 중 요즘 달다구리 최애 버터는 요 둘!! 🥄 블루베리 버터 은은하고 부드럽게 퍼지는 과일향과 블루베리 알갱이가 씹히는 프루티한 맛! 🥄 시나몬 피칸 버터 메이플 + 시나몬의 깊은 단맛✨ 바삭하게 씹히는 피칸… 그냥 퍼먹어도 꿀맛! 시나몬 러버라면 무조건 취향저격 🥯 빵, 스콘, 쿠키, 베이글 뭐든 이 버터 하나만 올리면 맛이 급상승!!! ◾프랑스 AOP 인증 고품격 발효버터 ◾아낌없이 넣은 프리미엄 원재료 ◾고소한 향과 부드러운 질감 ◾감칠맛 끝판왕 피니쉬 버터 ◾트랜스지방 0g! (20g 기준) ◾경화유·팜유·유화제 無 맛도 놀랍지만 스펙도 놀라운! 제가 애정x846512하는 룩트 버터는  뒤 📌  (월) 오픈 예정! 단골님들 딱 기다려주세요🔥 ———————————————— 📢 맛도리 룩트 버터 이벤트 당첨자 발표! 많은 참여 감사드려요, 단골님들! 사... 사랑합니다 💓 👇👇 당첨자분들 꼭 확인해주세요! 👇👇 ✅ ”이상한 과자가게“ 카카오톡 채널로 ✅ 성함 / 연락처 / 주소를 보내주시면 ‘다시마버터’ 슝- 보내드릴게요! ✅ 수령 후엔 맛나게 즐겨주시고,사진과 함께 ✅ 간단한 맛 설명+레시피를 DM으로 남겨주쎄오 단골님들의 맛조합이 궁금하다 궁금해!!😎😎😎 @jihye6344 @_jaedong_95 @h___js_95 @yer_in_orbit @gimmiyeon7132 @ji_ya_ @kminae44 @annieways_its_chaos @johabbang @seulgi.kim8834 수정됨 ·",#공구예고,sweetshop,2025-06-18,3976,Instagram
sweetshop_2025-06-16,61,요즘 생버터 먹방이 유행이라길래..(선물 있어요!!!!!) 버터 금괴를 직접 만들어왔습니다! 그냥 노란색 네모 버터 씹어먹으면 느끼한 게 당연하지만 이건 이미 맛으로 유명한 ➡️플레이버 버터⬅️랍니다!! 버터가 이렇게 꾸덕하고 쫀득할 일이야? 그냥 먹어도 맛있는데 빵이나 크래커에 올리면 말해 모해애액!!!!!!! 짭조롬한 맛은 음식에 곁들이면 끝내줍니다 진짜.(진지) ✔️ 프랑스산 프리미엄 발효버터 ✔️트랜스지방 20g 당 ZERO ✔️ 첨가물 ❌ 좋은 원재료만 ✔️ 빵이랑 크래커에도 OK! ✔️ 요리할 때에도 OK! 이렇게 맛있는 걸 나만 먹을 순 없잖아요? 우리 단골님들과 함께 나눠먹고 싶어서 이벤트 준비했습니다!! 🎁댓글 이벤트🎁 요즘 제가 사랑에 빠진 룩트 버터! 그 중 간장계란밥과 찰떡인 다시마버터 10분께 보내드릴테니 지금 바로 댓글 바로 달아주십셔🔥🔥 수정됨 ·,#공구예고,sweetshop,2025-06-16,1.2만,Instagram
sweetshop_2025-06-14,163,youtubekorea 이상한 과자가게(@sweetshop_s2) 님과의 고민 상담 시간🔮 이야기를 나누며 1:1로 사진도 찍었어요 👀 직접 만든 포춘쿠키 나눔으로 행운지수 up🍀 와 함께,"#유튜브팬페스트, #LG유플러스",sweetshop,2025-06-14,1366,Instagram
sweetshop_2025-06-13,172,호두과자게 호두를 빼고 드시는 분이 있더라구요? 저는 실제로 보고 너무 충격받았습니다. 호두과자게 들은 호두 싫어하시는 분 계신가요? 하지만 이건 누가봐도 완벽한 호두과자죠? (반박불가 일본에서는 이렇게 타코야끼 팬에다가 직접 굽는 팥앙금 넣은 과자가 있더라구요ㅎㅅㅎ 당장 해봤는데.. 어우 쉽지 않아 쉽지 않아,,sweetshop,2025-06-13,1606,Instagram
sweetshop_2025-06-12,317,(마빡이라고 한 사람 누구야) 우리 단골님들 드리라고.. 선물 가득 챙겨주셔서 너무너무 감사해요🥰🤩 - [루메나] @lumena__official 빅팬 휴대용 탁상용 폴더블 선풍기 FAN PRO MAX - [린트] @lindt 린도볼 밀크 - [닥터지] @dr.g_official 레드 블레미쉬 클리어 수딩 크림 - [식물나라] @shingmulnara 가벼운 수분 선 젤 - [메이크프렘] @makeprem 세이프 미 릴리프 모이스처 클렌징 밀크 - [잇더핏] @eatthefit_official 잇더핏 단백질 쉐이크 스타터패키지 + 비니거핏 애플 사이다 비니거 매실맛 - [삼양] @samyangfoods 탱글 머쉬룸크림파스타,,sweetshop,2025-06-12,805,Instagram
sweetshop_2025-06-08,255,"크림이 안들어갔는데 웬 로제?! 땅콩버터랑 배홍동소스가 만나니깐 로제크림처럼 뽀얗고 크리미한 배홍동 비빔면 완성✨ 🏠 배홍동 전입신고 인증 이벤트 🏠 전입신고 인증해주신 분들에게 추첨을 통해 푸짐한 경품을 드립니다! 자세한 이벤트 내용은 농심 홈페이지를 확인해 주세요!! ▶️ 응모기간 : ~  31일까지 ▶️ 당첨자 발표 :   중 개별 연락 및 농심홈페이지 공개 ▶️ 경품 : 냉장고(1명), 에어컨(2명), UHD TV(2명), 백화점 상품권(5명), 스타벅스 기프티콘(100명) ▶️ 참여 방법 ① 원하는 배홍동 제품을 구매한다. (비빔면/쫄쫄면/칼빔면) ② 배홍동 전입신고 기념 인증샷을 재미있게 남긴다. ③ 필수 해시태그와 함께 인스타그램에 업로드하여 전입을 인증한다! (※ 필수 해시태그 : - - - - - - - - - - - - - - - - - - - - - - - - ➡️재료: 다진파 1큰술, 다진 마늘 1/2큰술, 식용유 1큰술, 땅콩버터 1.5큰술, 배홍동 1개, 토핑(다진땅콩, 다진 파) ➡️만드는 법 1. 다진 파, 다진 마늘, 식용유를 섞어서 전자레인지에 1분~1분 30초 돌리면 맛있는 파마늘 기름이 뿜뿜! 2. 배홍동소스, 땅콩버터를 넣고 섞어서 소스를 만든다. 3. 익혀서 차갑게 씻은 배홍동 면에 소스를 넣고 비빈다. 4. 위에 다진 땅콩, 다진 파를 듬뿍 얹으면 끝! 수정됨 ·","#광고, #농심, #배홍동, #배홍동전입신고, #배홍동으로이사가자), #배홍동",sweetshop,2025-06-08,1626,Instagram
