POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
toctocsia_2025-03-27,38,"이 조합 실화? 과자로 진짜 요리가 되는데요?? 프링글스 일냈다 일냈어! 한국 단독 출시 프링글스 스윗 어니언! 흑백요리사 파브리 셰프님이 개발한 👩🏻‍🍳프링글스로 만든 크림 떡볶이🧅 도전! 한국 최초의 미슐랭 3스타 셰프님이 공동개발했다는데, 볶은 양파의 풍미가 아주 제대로 들어간 신제품! 가까운 편의점에서 만나보세요! 레시피 1. 과자 한통 으깨기 2. 물 150g 넣고 찰기가 생길 때까지 볶기 3. 냉장고에 넣고 식히고 반죽처럼 치대기 4. 반죽을 길게 밀어서 떡처럼 잘라준다 5. 생크림 100ml 넣고 약불에 끓인다 6. 파르미자노 치즈를 갈아서 넣어주고 떡과 함께 끓여준다 7. 베이컨 칩에 으깬 프링글스를 믹스해서 크림 떡볶이 위에 뿌려주면 완성","#광고, #제품협찬, #프링글스, #프링글스새로운맛, #프링글스신제품, #프링글스보라색, #프링글스스윗어니언, #스윗어니언, #프링글스레시피, #프링글스요리, #감자칩, #신상과자, #신상과자추천, #신상리뷰, #편의점신상",toctocsia,2025-03-27,4894,Instagram
toctocsia_2025-03-26,95,탄산 샤인머스캣???😱 Fizzy grapes??🍇 의상협찬: VIVA LA VIDA @vlvd_official,"#toctocsia, #톡톡시아, #먹방, #mukbang, #먹스타그램, #샤인머스캣, #디저트",toctocsia,2025-03-26,2.7만,Instagram
toctocsia_2025-03-25,42,"소금빵, 초코빵도 맛있는데 마늘빵까지?! 농심 빵부장 마늘빵 역대급 신상입니다! 마늘빵 매니아 강.추 수정됨 ·","#광고, #농심, #인생을맛있게, #nongshim, #빵부장, #빵부장소금빵, #빵부장초코빵, #빵부장마늘빵",toctocsia,2025-03-25,1만,Instagram
toctocsia_2025-03-16,45,여러분들이 가장 좋아하는 마라탕 토핑은??🤔,"#toctocsia, #톡톡시아, #mukbang, #먹방, #마라탕, #먹스타그램, #이모지먹방, #emojimukbang, #마라탕후루",toctocsia,2025-03-16,5.6만,Instagram
toctocsia_2025-03-14,518,(광고) 수제 젤라또처럼 쫀쫀한데 맛까지 똑같은 저당 파베크림콘!!,"#파베크림콘, #라라스윗#CU신상, #편의점신상, #신상디저트, #편의점디저트, #라라스윗저당콘, #저당콘, #저당파베크림콘, #라라스윗콘",toctocsia,2025-03-14,1.1만,Instagram
toctocsia_2025-03-13,61,겨울엔 화채😭,"#toctocsia, #톡톡시아, #먹방, #mukbang, #화채, #과일화채, #hwachae",toctocsia,2025-03-13,6.9만,Instagram
toctocsia_2025-03-11,420,이 가격에 이 퀄리티? 💛✨ 상상의끝을 보여주는 신제품 3종을 모두 먹으면 얼마일까요?👛 친구를 소환@하고 정답을 댓글로 남겨주세요! 추첨을 통해 경품도 드려요~🎁 🍔기간: 3/11(화)~3/16(일) 🍔발표: 3/19(수) 🍔선물: 이마트24 모바일상품권 3천원권(5명) * 이마트24 인스타그램 팔로우 필수!✨,"#광고, #댓글이벤트",toctocsia,2025-03-11,8149,Instagram
toctocsia_2025-03-08,55,맘스터치 핫치즈싸이순살+치밥..ㄷㄷ 이걸 이제야 먹어보다니..😭,"#toctocsia, #톡톡시아, #mukbang, #먹방, #맘스터치, #맘스터치치킨, #핫치즈싸이순살, #핫치즈빅싸이순살",toctocsia,2025-03-08,18.3만,Instagram
toctocsia_2025-03-02,943,탄산 샤인머스켓??😱 Fizzy grapes?? 🍇,"#toctocsia, #톡톡시아, #배네타, #먹방, #mukbang, #recipe",toctocsia,2025-03-02,8.9만,Instagram
toctocsia_2025-02-26,30,양푼이 대왕 딸기빙수??🍓😱,"#톡톡시아, #toctocsia, #먹방, #mukbang, #먹스타그램, #emojimukbang, #딸기빙수, #디저트",toctocsia,2025-02-26,3만,Instagram
toctocsia_2025-02-22,61,여러분들이 젤 좋아하는 맛은?? 구슬아이스크림 이모지 먹방😭,"#toctocsia, #톡톡시아, #mukbang, #먹방, #구슬아이스크림, #먹스타그램, #emojimukbang, #이모지먹방",toctocsia,2025-02-22,3.6만,Instagram
toctocsia_2025-02-12,83,불닭마요 연어국수 라구요??😭,"#toctocsia, #톡톡시아, #먹방, #mukbang, #생연어, #연어국수, #불닭소스, #먹스타그램",toctocsia,2025-02-12,3만,Instagram
toctocsia_2025-02-05,35,(광고) 역대급 꾸덕함ㅠ 파베크림 잔뜩 넣어 만든 라라스윗 대박 신상!!,"#라라스윗저당크림콘, #라라스윗크림콘, #라라스윗, #아이스크림, #편의점신상, #먹방, #mukbang",toctocsia,2025-02-05,6382,Instagram
toctocsia_2025-01-30,697,양푼이 케이크??😱,"#톡톡시아, #toctocsia, #스초생, #투썸, #먹방, #mukbang, #먹스타그램, #케이크",toctocsia,2025-01-30,10만,Instagram
toctocsia_2025-01-24,816,(단순선물) 대왕 짜파게티..ㄷㄷ😱,"#제품제공, #먹방, #mukbang, #toctocsia, #톡톡시아, #농심, #짜파게티더블랙",toctocsia,2025-01-24,1.5만,Instagram
toctocsia_2024-12-21,207,겨울간식 베스트 5😭 [Video Source Support] Youtube channel ”freeticon“,"#톡톡시아, #toctocsia, #먹스타그램, #이모지먹방, #mukbang, #먹방, #asmr, #겨울간식",toctocsia,2024-12-21,2.4만,Instagram
toctocsia_2024-12-17,61,공차 크리스마스 이모지 먹방🎄🎅,"#toctocsia, #톡톡시아, #mukbang, #먹방, #먹스타그램, #공차, #gongcha, #이모지먹방, #emoji",toctocsia,2024-12-17,5.7만,Instagram
toctocsia_2024-12-09,148,"(광고) 초콜릿 덕후라면 이번 몰티져스 신상, 레인디어 보이면 꼭 사세요ㅠ @maltesers_korea @dinotaeng [Video Source Support] Youtube channel ”freeticon“ 수정됨 ·","#몰티져스, #다이노탱, #메리크런치마스, #크리스마스, #디저트, #몰티져스레인디어, #초콜릿, #디저트, #X-MAS, #먹방, #mukbang",toctocsia,2024-12-09,9270,Instagram
toctocsia_2024-12-08,61,설빙 이모지 먹방😭 sulbing emoji mukbang!,"#먹방, #mukbang, #toctocsia, #먹스타그램, #이모지먹방, #설빙, #디저트, #겨울디저트",toctocsia,2024-12-08,7.2만,Instagram
