VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
프롬서희_20250122,편의점에도 출시한 중국 벽돌초콜렛 빙산롱옌🧱,#shorts #빙산롱옌 #chinesefood #중국간식,프롬서희,2025-01-22,PT50S,128184,2917,61,youtube
프롬서희_20250120,"중국 수건케이크, 빙산롱옌 다음 유행은 푸투안?",#shorts #chinesefood #중국간식,프롬서희,2025-01-20,PT58S,233198,5877,121,youtube
프롬서희_20250119,편의점 리본캔디 전자레인지 돌리면 훨씬 바삭해진다고?!!,,프롬서희,2025-01-19,PT47S,75990,2103,29,youtube
프롬서희_20250118,생크림 빵이 된 편의점표 수건케이크,#shorts,프롬서희,2025-01-18,PT57S,88219,2138,31,youtube
프롬서희_20250116,편의점 출시한 리본 모양 캔디? 오리지널 비슷할까?,#shorts,프롬서희,2025-01-16,PT50S,111034,2725,72,youtube
프롬서희_20250115,100시간 지속 틴트로 컬러 매칭 먹방 챌린지,#토니모리 #퍼펙트립스쇼킹립 #퍼펙트립스쇼킹립틴트 #쇼킹립 #쇼킹립틴트 #올리브영 #올리브영틴트 #먹방틴트 #지속력좋은틴트,프롬서희,2025-01-15,PT47S,72591,1529,47,youtube
프롬서희_20250113,편의점 스웨디시 젤리가 딱 하나 토핑된 케이크?,,프롬서희,2025-01-13,PT53S,258993,6473,86,youtube
프롬서희_20250111,용암처럼 흐르는 녹인 중국 벽돌 초콜렛!!ㄷㄷ,#shorts #중국초콜렛 #홀리랜드 #빙산롱옌,프롬서희,2025-01-11,PT51S,107965,2740,43,youtube
프롬서희_20250110,수건케이크 다음 유행이라는 중국 벽돌 초콜렛?,#shorts #중국초콜렛 #빙샨롱옌 #chinesefood,프롬서희,2025-01-10,PT58S,175807,5078,78,youtube
프롬서희_20250108,서양 대왕 대파로 재도전한 그린어니언 크림치즈 베이컨,,프롬서희,2025-01-08,PT57S,167919,5199,52,youtube
프롬서희_20250108,#공구 15년 장인이 직접 빚은 수제 딸기찹쌀떡,"🍓딸기찹쌀떡 구매링크 https://srok.kr/gbGD5 🍓  🌟공구 기간 1/8일~10일 자정, 프로필 링크 구매 가능🌟 💶가격 6개 26,900원(기존) ➡️ 13,900원(공구가) 판매!  🍓딸기 찹쌀떡은 모두 15년 경력 장인이 직접 빚어 배송됩니다! (수작업으로 만들어져 당일 제작 수량이 한정되며, 순차적 출고 예정이에요)  🍓매일 아침 충남 계롱 농장에서 수확한 10-13 Brix 이상 최상급 딸기로 제작 & 당일 생산한 떡으로 출고됩니다!  🍓보냉박스, 아이스팩 포장 & 1개씩 개별 포장되어 가루날림 없이 배송됩니다!  🍓가장 맛있게 먹기 위해, 상온에서 3-4시간 내 섭취, 냉장 보관 후 당일 섭취를 권장드려요!  🍓 딸기가 물러져서 당일 섭취 불가 시 꼭! 냉동 보관 후 해동하여 드시길 추천해요! 전 1시간 정도 되었을때 떡도 쫀득하고 딸기는 샤베트처럼 사각사각 맛있더라구요😋  궁금한 점은 언제든 DM 문의주세요! 모두 대환영이옵니다🫶🏻🫶🏻",프롬서희,2025-01-08,PT45S,82851,2458,129,youtube
프롬서희_20250102,케이크가 통째로 들어간 대만 찹쌀떡!!,#shorts #대만음식 #대만간식 #대만여행 #taiwan #taiwanfood #taipei #mukbang #eatingshow,프롬서희,2025-01-02,PT44S,139654,3844,25,youtube
프롬서희_20250101,비닐채로 짜먹는 대만식 꿀젤리(?),#shorts #대만간식 #대만음식 #taiwan #taiwanfood #mukbang,프롬서희,2025-01-01,PT46S,2177448,56188,178,youtube
프롬서희_20241228,대만 플리마켓의 동물농장 수제 펑리수,#shorts #mukbang #대만음식 #대만간식,프롬서희,2024-12-28,PT34S,137148,4177,51,youtube
프롬서희_20241226,해외에서 맛있다고 난리난 쪽파 크림치즈 베이컨?,#shorts,프롬서희,2024-12-26,PT52S,389372,9726,74,youtube
프롬서희_20241225,수제 크리스마스 간식 50초 먹방ASMR @냠사친,#크리스마스 #christmas #viralfood #shorts #eatingshow #eatingsounds #mukbang,프롬서희,2024-12-25,PT55S,111609,3104,60,youtube
프롬서희_20241223,케이크 전문점 수건케이크! 가격만큼 맛있을까?,#shorts #수건케이크 #마오쥔젤 #chinesefood,프롬서희,2024-12-23,PT57S,117397,3169,45,youtube
프롬서희_20241221,요청받은 통순대 소스 먹방ASMR #eatingshow,#mukbang #eatingshow #asmrsounds #shorts,프롬서희,2024-12-21,PT53S,164207,4611,97,youtube
프롬서희_20241220,얼음물에 넣으면 캔디로 변하는 일본 꿀젤리,,프롬서희,2024-12-20,PT45S,196459,4939,48,youtube
프롬서희_20241217,이디야에 새로 출시한 중국 수건케이크? 맛있을까,#shorts #chinesefood #마오쥔젤 #수건케이크 #먹방,프롬서희,2024-12-17,PT36S,117888,3000,44,youtube
프롬서희_20241213,각성하고 또 출시한 편의점 스웨디시 젤리?!,,프롬서희,2024-12-13,PT53S,384065,9181,78,youtube
프롬서희_20241211,제주도 물로 만든 100% 수제 물 젤리?,#shorts #제주도 #먹방 #물젤리,프롬서희,2024-12-11,PT48S,124145,3813,48,youtube
프롬서희_20241209,부천까지 가서 사온 중국 수건케이크,,프롬서희,2024-12-09,PT54S,274168,7004,81,youtube
프롬서희_20241206,유리알 일본 캔디? 간식창고 먹방ASMR,#먹방 #japanesefood #japan #jelly #viralfood #eatingshow #eatingsounds #mukbang #shorts,프롬서희,2024-12-06,PT56S,344006,10023,67,youtube
프롬서희_20241206,두찜 신메뉴로 극강의 가성비 즐기는 법?,#두찜 #두찜타코라구요 #두찜신메뉴 #shorts,프롬서희,2024-12-06,PT55S,44598,1177,25,youtube
프롬서희_20241204,편의점 스웨디시 전자레인지 돌리면 오리지널과 비슷할까?,#shorts,프롬서희,2024-12-04,PT40S,200279,5007,61,youtube
프롬서희_20241203,슈가파우더에 절여먹는 크랜베리 캔디?,#cranberries #candiedcranberries #candiedfruit #viralfood #viralvideo #shorts,프롬서희,2024-12-03,PT51S,189753,4196,98,youtube
프롬서희_20241130,편의점 스웨디시 젤리? 오리지널과 비슷할까?,,프롬서희,2024-11-30,PT49S,778802,16150,200,youtube
프롬서희_20241128,배달어플 꼭 시켜야 할 불닭 떡볶이?! 굿즈도 준다고?,#떡참 #떡볶이참잘하는집 #불닭로제떡볶이 #곽철이 #곽철이굿즈 #불닭 #shorts,프롬서희,2024-11-28,PT50S,39365,1169,38,youtube
프롬서희_20241127,스웨덴 캔디보다 꾸덕 쫀득한 미국 퍼지캔디,,프롬서희,2024-11-27,PT49S,997392,23398,152,youtube
프롬서희_20241124,일본 돈키호테 꼭 사야할 킨조 유사 젤리?,#shorts,프롬서희,2024-11-24,PT48S,216596,6316,36,youtube
프롬서희_20241121,요아정 신상 망고초코쉘이 출시했다고? (feat 일리윤),#일리윤 #요아정 #요아정꿀조합 #민크정 #shorts,프롬서희,2024-11-21,PT47S,85005,2091,44,youtube
프롬서희_20241120,홈플러스에서 구매한 스웨디시 젤리?!,,프롬서희,2024-11-20,PT53S,355471,6903,102,youtube
프롬서희_20241119,3시간 동안 만든 중국 수건케이크 마오진젤,#shorts,프롬서희,2024-11-19,PT52S,84039,2121,26,youtube
프롬서희_20241118,해외에서 유행하는 통양파 끓여먹기? #onionboil,#viralvideo #viralshorts #foodie #foodtrend #onionboil #shorts,프롬서희,2024-11-18,PT49S,90193,2806,46,youtube
프롬서희_20241115,먹을 수 있는 테무 크로와상 탕후루 조명,,프롬서희,2024-11-15,PT48S,84910,2323,39,youtube
프롬서희_20241112,간식 유튜버가 만들어준 수제 꿀젤리 모나카 @반달샘,,프롬서희,2024-11-12,PT48S,141893,4028,47,youtube
프롬서희_20241111,유행하는 해산물 마시멜로우로 만든 쫀득쿠키 @반달샘,#shorts,프롬서희,2024-11-11,PT56S,135835,4296,33,youtube
프롬서희_20241110,픽스 초콜렛보다 맛있는 원조 블린더 두바이 초콜렛 @반달샘,#shorts,프롬서희,2024-11-10,PT54S,314781,8600,81,youtube
프롬서희_20241109,요즘 쫀득쿠키로 불리는 누가쿠키 종류별로 먹방,,프롬서희,2024-11-09,PT58S,95238,0,46,youtube
프롬서희_20241108,크림이 흘러내리는 중국 생크림 찹쌀떡,#shorts #먹방 #음식먹방 #mukbang #먹방asmr #asmrsounds,프롬서희,2024-11-08,PT58S,146890,3940,63,youtube
프롬서희_20241106,오픈런해서 구한 중국 수건케이크 마오쥔젤,#shorts #중국디저트 #수건케이크 #마오쥔젤,프롬서희,2024-11-06,PT56S,215503,5909,65,youtube
프롬서희_20241105,크림이 촤르륵 흘러 내리는 대만식 찹쌀떡,,프롬서희,2024-11-05,PT57S,199576,6173,44,youtube
프롬서희_20241102,스웨디시 젤리로 만든 아이스 코하쿠토 80초 먹방ASMR,#shorts #스웨디시젤리 #스웨덴캔디 #코하쿠토 #먹방asmr #mukbang #eatingsounds #eatingshow,프롬서희,2024-11-02,PT1M19S,93699,1523,21,youtube
프롬서희_20241101,5만원짜리 스웨디시 젤리 코하쿠토,#shorts #스웨디시젤리 #스웨덴젤리 #코하쿠토 #아이스코하쿠토,프롬서희,2024-11-01,PT45S,277920,7545,46,youtube
프롬서희_20241030,24시 케이크 마트의 신기한 계란 케이크?,#shorts #케이크 #24시케이크마트,프롬서희,2024-10-30,PT53S,236999,7480,63,youtube
프롬서희_20241029,하리보 코하쿠토 80초 먹방ASMR (사각사각 소리 대박❄️),,프롬서희,2024-10-29,PT1M20S,49556,1014,39,youtube
프롬서희_20241029,24시간 만든 하리보 아이스 코하쿠토,#shorts #frozengummyjelly,프롬서희,2024-10-29,PT47S,155154,5219,89,youtube
프롬서희_20241027,스웨디시 젤리는 감초맛이 찐이라고?,#스웨디시젤리 #스웨덴캔디 #shorts,프롬서희,2024-10-27,PT54S,409326,8742,103,youtube
프롬서희_20241024,겹겹이 떼어먹는 태국 레이어드 떡 케이크,,프롬서희,2024-10-24,PT47S,191513,5860,74,youtube
