STATS_ID,KEYWORD_ID,STATS_DATE,size,KEYWORD_NAME,type,priority
1,191,2022-07-06,1,하이디라오,NNG,9999
2,384,2022-07-18,1,라이,NNG,5000
3,135,2022-09-07,1,요리,NNG,9999
4,229,2022-09-20,1,계란,NNG,5000
5,90,2022-09-21,1,사과,NNG,9999
6,157,2022-09-23,1,카페라떼,NNG,9999
7,38,2022-09-24,1,레시피,NNG,9999
8,374,2022-09-30,1,라면,NNG,5000
9,163,2022-10-08,1,쿠키,NNG,9999
10,950,2022-10-11,1,토마토,NNG,5000
11,127,2022-10-14,1,에스프레소,NNG,9999
12,341,2022-10-16,1,도넛,NNG,5000
13,90,2022-10-24,1,사과,NNG,9999
14,61,2022-10-26,1,먹방,NNG,9999
15,1011,2022-11-04,1,푸딩,NNG,5000
16,1011,2022-11-17,1,푸딩,NNG,5000
17,509,2022-11-21,1,버터,NNG,5000
18,689,2022-11-25,1,야쿠르트,NNG,5000
19,977,2022-11-25,1,파스타,NNG,5000
20,562,2023-01-03,1,사탕,NNG,5000
21,587,2023-01-10,1,석류,NNG,5000
22,25,2023-01-12,1,동결건조,NNG,9999
23,723,2023-01-18,1,오이,NNG,5000
24,25,2023-01-25,1,동결건조,NNG,9999
25,25,2023-02-15,1,동결건조,NNG,9999
26,880,2023-02-17,1,카라멜,NNG,5000
27,58,2023-04-02,1,맥도날드,NNG,9999
28,25,2023-04-13,1,동결건조,NNG,9999
29,798,2023-04-19,1,젤리,NNG,5000
30,728,2023-04-24,1,옥수수,NNG,5000
31,46,2023-04-29,1,마시멜로,NNG,9999
32,25,2023-05-02,1,동결건조,NNG,9999
33,270,2023-05-03,1,기프,NNG,5000
34,65,2023-05-12,1,메론빵,NNG,9999
35,175,2023-05-12,1,탕후루,NNG,9999
36,56,2023-05-17,1,망고,NNG,9999
37,25,2023-05-27,1,동결건조,NNG,9999
38,191,2023-05-30,1,하이디라오,NNG,9999
39,198,2023-05-31,1,훠궈,NNG,9999
40,798,2023-06-01,1,젤리,NNG,5000
41,175,2023-06-02,1,탕후루,NNG,9999
42,109,2023-06-03,1,수박,NNG,9999
43,109,2023-06-04,2,수박,NNG,9999
44,89,2023-06-05,1,뻥튀기,NNG,9999
45,25,2023-06-06,1,동결건조,NNG,9999
46,30,2023-06-07,1,딸기,NNG,9999
47,89,2023-06-10,1,뻥튀기,NNG,9999
48,1011,2023-06-17,1,푸딩,NNG,5000
49,175,2023-06-20,1,탕후루,NNG,9999
50,175,2023-06-29,1,탕후루,NNG,9999
51,25,2023-07-10,1,동결건조,NNG,9999
52,845,2023-07-12,1,초코,NNG,5000
53,25,2023-07-14,1,동결건조,NNG,9999
54,175,2023-07-17,1,탕후루,NNG,9999
55,473,2023-07-24,1,밀크,NNG,5000
56,628,2023-08-08,1,스크림,NNG,5000
57,207,2023-08-21,1,간식,NNG,5000
58,60,2023-08-22,1,머랭쿠키,NNG,9999
59,207,2023-08-24,1,간식,NNG,5000
60,207,2023-09-03,1,간식,NNG,5000
61,207,2023-09-04,1,간식,NNG,5000
62,61,2023-09-06,1,먹방,NNG,9999
63,207,2023-09-07,1,간식,NNG,5000
64,109,2023-09-14,1,수박,NNG,9999
65,923,2023-09-23,1,크로,NNG,5000
66,874,2023-09-24,1,치킨,NNG,5000
67,606,2023-09-26,1,수세미,NNG,5000
68,175,2023-09-28,1,탕후루,NNG,9999
69,207,2023-10-01,1,간식,NNG,5000
70,61,2023-10-03,1,먹방,NNG,9999
71,61,2023-10-05,1,먹방,NNG,9999
72,46,2023-10-21,1,마시멜로,NNG,9999
73,870,2023-10-29,1,치즈,NNG,5000
74,207,2023-10-31,1,간식,NNG,5000
75,414,2023-11-03,1,마쉬멜로우,NNG,5000
76,207,2023-11-09,1,간식,NNG,5000
77,207,2023-11-11,1,간식,NNG,5000
78,46,2023-11-12,1,마시멜로,NNG,9999
79,207,2023-11-15,1,간식,NNG,5000
80,207,2023-11-18,1,간식,NNG,5000
81,206,2023-11-22,1,가지,NNG,5000
82,798,2023-11-23,1,젤리,NNG,5000
83,229,2023-11-26,1,계란,NNG,5000
84,207,2023-11-27,1,간식,NNG,5000
85,61,2023-11-28,1,먹방,NNG,9999
86,56,2023-12-04,1,망고,NNG,9999
87,123,2023-12-04,1,약과,NNG,9999
88,207,2023-12-04,1,간식,NNG,5000
89,25,2023-12-06,2,동결건조,NNG,9999
90,95,2023-12-06,1,샤인머스캣,NNG,9999
91,511,2023-12-06,1,베리,NNG,5000
92,923,2023-12-06,1,크로,NNG,5000
93,61,2023-12-07,1,먹방,NNG,9999
94,85,2023-12-07,1,붕어빵,NNG,9999
95,61,2023-12-08,1,먹방,NNG,9999
96,46,2023-12-09,1,마시멜로,NNG,9999
97,175,2023-12-09,1,탕후루,NNG,9999
98,890,2023-12-09,1,캔디,NNG,5000
99,511,2023-12-10,1,베리,NNG,5000
100,890,2023-12-10,1,캔디,NNG,5000
101,999,2023-12-10,1,포도,NNG,5000
102,12,2023-12-11,1,꼬치,NNG,9999
103,890,2023-12-11,1,캔디,NNG,5000
104,85,2023-12-12,1,붕어빵,NNG,9999
105,90,2023-12-12,1,사과,NNG,9999
106,798,2023-12-12,1,젤리,NNG,5000
107,798,2023-12-13,1,젤리,NNG,5000
108,25,2023-12-14,1,동결건조,NNG,9999
109,175,2023-12-14,1,탕후루,NNG,9999
110,511,2023-12-14,1,베리,NNG,5000
111,798,2023-12-14,1,젤리,NNG,5000
112,30,2023-12-15,1,딸기,NNG,9999
113,250,2023-12-15,1,과자,NNG,5000
114,364,2023-12-15,1,땅콩,NNG,5000
115,562,2023-12-15,2,사탕,NNG,5000
116,56,2023-12-16,1,망고,NNG,9999
117,229,2023-12-16,1,계란,NNG,5000
118,763,2023-12-16,1,이게찐,NNG,5000
119,890,2023-12-16,1,캔디,NNG,5000
120,207,2023-12-17,1,간식,NNG,5000
121,220,2023-12-17,1,개구리,NNG,5000
122,435,2023-12-17,1,매운맛,NNG,5000
123,2,2023-12-19,1,계란빵,NNG,9999
124,798,2023-12-19,1,젤리,NNG,5000
125,1011,2023-12-19,1,푸딩,NNG,5000
126,229,2023-12-21,1,계란,NNG,5000
127,206,2023-12-23,1,가지,NNG,5000
128,207,2023-12-24,1,간식,NNG,5000
129,46,2023-12-25,1,마시멜로,NNG,9999
130,895,2023-12-28,1,케이,NNG,5000
131,30,2023-12-29,1,딸기,NNG,9999
132,366,2023-12-30,1,떡볶이,NNG,5000
133,870,2023-12-31,1,치즈,NNG,5000
134,175,2024-01-01,1,탕후루,NNG,9999
135,207,2024-01-02,1,간식,NNG,5000
136,61,2024-01-05,1,먹방,NNG,9999
137,83,2024-01-05,1,불닭,NNG,9999
138,628,2024-01-08,1,스크림,NNG,5000
139,30,2024-01-09,1,딸기,NNG,9999
140,61,2024-01-09,1,먹방,NNG,9999
141,249,2024-01-10,1,과일,NNG,5000
142,46,2024-01-11,1,마시멜로,NNG,9999
143,61,2024-01-11,1,먹방,NNG,9999
144,249,2024-01-11,1,과일,NNG,5000
145,62,2024-01-12,1,먹스타그램,NNG,9999
146,207,2024-01-12,1,간식,NNG,5000
147,312,2024-01-12,1,다이소,NNG,5000
148,175,2024-01-13,1,탕후루,NNG,9999
149,312,2024-01-13,1,다이소,NNG,5000
150,175,2024-01-14,1,탕후루,NNG,9999
151,61,2024-01-15,2,먹방,NNG,9999
152,325,2024-01-15,1,당고,NNG,5000
153,25,2024-01-16,1,동결건조,NNG,9999
154,61,2024-01-16,1,먹방,NNG,9999
155,175,2024-01-17,1,탕후루,NNG,9999
156,798,2024-01-17,1,젤리,NNG,5000
157,891,2024-01-19,1,커피,NNG,5000
158,65,2024-01-20,1,메론빵,NNG,9999
159,564,2024-01-20,1,산낙지,NNG,5000
160,173,2024-01-21,1,타피오카,NNG,9999
161,30,2024-01-22,1,딸기,NNG,9999
