KEYWORD_ID,KEYWORD_NAME,KEYWORDUP,MENTION_CNT
264,왕가탕후루,왕가탕후루,2
265,육포,육포,2
266,인삼,인삼,1
267,인절미,인절미,2
268,자몽,자몽,4
269,작물,작물,3
270,잡채,잡채,1
271,전문점,전문점,2
272,점토,점토,1
273,제과,제과,1
274,죠스,죠스,1
275,주스,주스,3
276,즙,즙,4
277,짜장면,짜장면,5
278,쪽파,쪽파,2
279,쫀드기,쫀드기,3
280,쫀득빵,쫀득빵,2
281,찌,찌,4
282,찰밥,찰밥,2
283,참깨,참깨,2
284,찹쌀,찹쌀,5
285,찹쌀떡,찹쌀떡,6
286,채소,채소,4
287,초콜렛,초콜렛,4
288,추석,추석,3
289,치즈케이크,치즈케이크,4
290,칠리,칠리,1
291,케찹,케찹,4
292,코카콜라,코카콜라,3
293,코코넛,코코넛,5
294,콩나물,콩나물,2
295,쿠카,쿠카,1
296,쿡,쿡,4
297,크래커,크래커,1
298,크랜베리,크랜베리,2
299,크레페,크레페,2
300,크림,크림,8
301,타키,타키,1
302,토마토,토마토,6
303,토핑된,토핑된,1
304,통귤,통귤,5
305,튜바,튜바,1
306,특산,특산,1
307,파바,파바,2
308,파빵,파빵,1
309,파이,파이,1
310,파인애플,파인애플,6
311,파파야,파파야,2
312,팬케이크,팬케이크,1
313,페레로,페레로,1
314,페퍼,페퍼,1
315,포슬,포슬,1
316,포켓몬빵,포켓몬빵,3
317,퐁당,퐁당,8
318,퐁듀,퐁듀,2
319,푸드,푸드,2
320,풍선껌,풍선껌,2
321,프레첼,프레첼,2
322,피단,피단,1
323,피스타치오,피스타치오,6
324,한우,한우,4
325,핫도그,핫도그,5
326,해산물,해산물,3
327,햄,햄,3
328,햄버거,햄버거,6
329,햇반,햇반,4
330,홈플러스,홈플러스,3
331,회,회,3
332,후렌치,후렌치,1
333,간장게장,간장게장,4
334,갈비,갈비,2
335,고다,고다,1
336,고디바,고디바,2
337,고추장,고추장,3
338,과즙,과즙,1
339,국룰,국룰,3
340,김,김,4
341,김장,김장,2
342,냉면,냉면,4
343,닭,닭,4
344,닭강정,닭강정,3
345,던킨,던킨,2
346,던킨도너츠,던킨도너츠,1
347,동파육,동파육,2
348,딸기모찌,딸기모찌,4
349,레시,레시,1
350,만둣국,만둣국,1
351,매,매,1
352,맥도날드,맥도날드,4
353,멸치,멸치,2
354,반상,반상,1
355,베이글,베이글,3
356,베이커,베이커,1
357,보쌈김치,보쌈김치,2
358,보양식,보양식,1
359,볶음,볶음,3
360,비빔면,비빔면,4
361,빵집,빵집,2
362,빼빼로,빼빼로,4
363,살로,살로,1
364,샌드,샌드,3
365,손맛,손맛,1
366,쇼핑,쇼핑,1
367,수박화채,수박화채,3
368,스니커즈,스니커즈,1
369,오징어,오징어,7
370,와인,와인,2
371,유부초밥,유부초밥,3
372,육,육,1
373,육즙,육즙,3
374,일식,일식,1
375,입맛,입맛,5
376,정식,정식,3
377,제육,제육,1
378,집밥,집밥,1
379,짜파게티,짜파게티,5
380,찐빵,찐빵,2
381,치밥,치밥,3
382,치즈버거,치즈버거,1
383,카레,카레,3
384,칼국수,칼국수,3
385,콘치,콘치,4
386,콘푸,콘푸,1
387,콩볼,콩볼,1
388,파김치,파김치,2
389,팥,팥,2
390,햄북,햄북,1
391,갈비찜,갈비찜,1
392,갈비탕,갈비탕,1
393,감,감,2
394,개밥,개밥,1
395,건빵,건빵,3
396,과카,과카,1
397,구찌,구찌,2
398,구토,구토,1
399,국밥,국밥,2
400,국밥집,국밥집,1
401,굴,굴,1
402,귀뚜라미,귀뚜라미,2
403,귤밭,귤밭,1
404,그릇,그릇,2
405,김밥,김밥,5
406,껌,껌,3
407,꿩,꿩,1
408,낫또,낫또,3
409,녹말,녹말,2
410,누룽지,누룽지,1
411,다이소,다이소,4
412,단호박,단호박,1
413,달걀후라이,달걀후라이,1
414,닭고기,닭고기,1
415,도너츠,도너츠,3
416,도토리묵,도토리묵,1
417,돈까스,돈까스,1
418,돼지껍데기,돼지껍데기,1
419,된장,된장,1
420,등골,등골,2
421,레몬에이드,레몬에이드,2
422,레스토랑,레스토랑,1
423,롯데리아,롯데리아,3
424,마가린,마가린,1
425,막걸리,막걸리,1
426,맛동산,맛동산,2
427,맛탕,맛탕,1
428,매운탕,매운탕,1
429,머스타드,머스타드,1
430,먹어봣다,먹어봣다,1
431,메인,메인,1
432,메추리,메추리,2
433,모카,모카,2
434,묵,묵,1
435,밀크,밀크,3
436,바오밥,바오밥,1
437,박하사탕,박하사탕,1
438,밥솥,밥솥,1
439,밥통,밥통,2
440,밥투정,밥투정,1
441,배추,배추,1
442,볶음밥,볶음밥,2
443,분식점,분식점,1
444,분식집,분식집,1
445,빵빵,빵빵,2
446,사료,사료,2
447,삼계탕,삼계탕,2
448,상추,상추,1
449,새우깡,새우깡,2
450,샐러드,샐러드,2
451,생수,생수,2
452,설렁탕,설렁탕,1
453,셰프,셰프,1
454,소시지,소시지,1
455,쇼콜라,쇼콜라,1
456,수산시장,수산시장,2
457,수제비,수제비,1
458,수확,수확,2
459,스파게티,스파게티,2
460,스팸떡,스팸떡,1
461,스프,스프,2
462,식용유,식용유,1
463,식탐,식탐,2
464,쌀,쌀,1
465,쌀밥,쌀밥,1
466,씨방,씨방,1
467,아몬드,아몬드,1
468,아침밥,아침밥,1
469,양념치킨,양념치킨,3
470,어묵,어묵,2
471,오므라이스,오므라이스,2
472,요구르트,요구르트,3
473,울산쫀드기,울산쫀드기,1
474,워터,워터,3
475,육수,육수,1
