COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
홍지_hongji_20250719_c1,홍지_hongji_20250719,@Hongji홍지,"남자친구는 요리사가 아니어서
뚝딱 감으로 만들어주는 거 절대 아니구!!
유튜브에서 이것저것 레시피 많이 보고
괜찮은 부분들 섞어서 만든다고 합니다!

필요한 재료는 프로필 링크 올려뒀어요
등갈비 1kg
버터 20g
대파 1대
양파 1개
청양고추 2개
후추 20바퀴
물 600ml
진간장 4T, 설탕 4T, 고추장 4T
고춧가루 2T
다진마늘 1T, 케첩 1T, 식초 1T

이번 레시피는 <류수영 고추장버터등갈비> 에서 참고하여 만들어줬다고 하니 자세한 조리과정 필요하신 분들은 유튜브 검색 추천드려요🔎",2025-07-19
홍지_hongji_20250719_c2,홍지_hongji_20250719,@Duda_woo,완전 정성가득 레시피!!! 진짜 맛있어보여요!!!,2025-07-19
홍지_hongji_20250718_c1,홍지_hongji_20250718,@Duda_woo,❤❤❤,2025-07-19
홍지_hongji_20250718_c2,홍지_hongji_20250718,@Duda_woo,60계치킨은 다 맛난 것 같아요❤❤❤완존❤❤❤,2025-07-18
홍지_hongji_20250717_c1,홍지_hongji_20250717,@Lilac__dreams,와 남친분 요리 재능있어,2025-07-23
홍지_hongji_20250717_c2,홍지_hongji_20250717,@Duda_woo,치즈가 폭포 같아용❤❤❤,2025-07-19
홍지_hongji_20250717_c3,홍지_hongji_20250717,@99999qqqqqq,남자친구 뭐 요리사..인가요..,2025-07-17
홍지_hongji_20250717_c4,홍지_hongji_20250717,@짜파게티-f1y,뭔가 어른의기운이 느껴진다(?)😱,2025-07-17
홍지_hongji_20250717_c5,홍지_hongji_20250717,@만준니,진짜맜있겠다,2025-07-17
홍지_hongji_20250716_c1,홍지_hongji_20250716,@Hongji홍지,"작년에 스마일라식 했는데 최저가로
수술할 수 있는 방법을 이제야 알아버려서
여러분이라두•• 꼭 할인 받고 하셨음 하는 마음에
후다닥 정보 낋여왔어요!!!!!

시력교정술(라식•라섹•스마일•렌즈삽입)부터
백내장/드림렌즈/아이링/노안수술 등
모두닥에서는 필요한 수술을 최저가로
받아볼 수 있는데 대학생/직장인 할인몰에서
추가할인까지 받으려면 프로필 링크 참고!🌟

 #모두닥 대학생/직장인 할인몰에 입점한 병•의원에 한정함

#스마일라식 #라식 #라섹 #렌즈삽입술",2025-07-16
홍지_hongji_20250716_c2,홍지_hongji_20250716,@이츠미유키,언늬 너무 이쁘다긔ㅠ 구독 박앗긔,2025-07-19
홍지_hongji_20250716_c3,홍지_hongji_20250716,@짜파게티-f1y,오 갑자기 목소리 나와서 놀랏어요ㅋㅋㅋㅋ,2025-07-16
홍지_hongji_20250716_c4,홍지_hongji_20250716,@Duda_woo,홍지님 목소리 넘 좋아요오❤❤❤,2025-07-16
홍지_hongji_20250716_c5,홍지_hongji_20250716,@SssdhakcoNMIXX,와진짜 너무 맛도리일 거 가타요💗💗 오늘도 잘보구 갑니당!!,2025-07-16
홍지_hongji_20250715_c1,홍지_hongji_20250715,@이수지-j7n,이정후가누구예요? 도시락안좋아하는데 이거맛잇어보인데요 ~ ❤❤❤❤,2025-07-17
홍지_hongji_20250715_c2,홍지_hongji_20250715,@Duda_woo,야구는 잘 모르지만 도시락은 넘 좋아유❤❤❤,2025-07-16
홍지_hongji_20250715_c3,홍지_hongji_20250715,@짜파게티-f1y,오 퀄리티 좋은데여?,2025-07-15
홍지_hongji_20250714_c1,홍지_hongji_20250714,@Duda_woo,"1분링 더운 여름에 육수 끓이기 힘들때 간편하고
좋을것 같아요!👍👍",2025-07-14
홍지_hongji_20250713_c1,홍지_hongji_20250713,@민지민-o1j,속눈썹 혹시 평소에 어떻게하시는지 여쭤봐도될까요..?? 볼때마다 너무 이뽀요,2025-07-16
